"fonte";"dataset_id";"nome_variabile_originale";"nome_variabile_standardizzato";"tipo_dato_originale";"tipo_dato_dopo_import";"unita_di_misura";"n_missing";"pct_missing";"n_valori_distinti";"esempi_valori";"note"
"ANAC";"CIG_2023";"MOTIVO_URGENZA";"MOTIVO_URGENZA";"character";"character";"n.d.";"648590";"99,00";"9";"PROCEDURA NEGOZIATA PER ESTREMA URGENZA, L. 120 DEL 11/09/2020, ART. 176 - D.P.R. 207/2010";""
"ANAC";"CIG_2023";"FLAG_DELEGA";"FLAG_DELEGA";"character";"character";"n.d.";"638814";"97,51";"2";"1";""
"ANAC";"CIG_2023";"FUNZIONI_DELEGATE";"FUNZIONI_DELEGATE";"character";"character";"n.d.";"638814";"97,51";"5";"SOLO AGGIUDICAZIONE, AGGIUDICAZIONE, STIPULA ED ESECUZIONE DEL CONTRATTO, AGGIUDICAZIONE E STIPULA DEL CONTRATTO";""
"ANAC";"CIG_2023";"CF_SA_DELEGANTE";"CF_SA_DELEGANTE";"character";"character";"n.d.";"638814";"97,51";"3589";"05617841001, 96462170588, 80202230589";""
"ANAC";"CIG_2023";"DENOMINAZIONE_SA_DELEGANTE";"DENOMINAZIONE_SA_DELEGANTE";"character";"character";"n.d.";"638814";"97,51";"3617";"ENEL PRODUZIONE SPA, COMANDO INFRASTRUTTURE, MINISTERO INTERNO DIPARTIMENTO DELLA P.S.";""
"ANAC";"CIG_2023";"CF_SA_DELEGATA";"CF_SA_DELEGATA";"character";"character";"n.d.";"638814";"97,51";"937";"10236451000, 80246030581, 97350070583";""
"ANAC";"CIG_2023";"DENOMINAZIONE_SA_DELEGATA";"DENOMINAZIONE_SA_DELEGATA";"character";"character";"n.d.";"638814";"97,51";"969";"ENEL GREEN POWER S.P.A., 8? REPARTO INFRASTRUTTURE, MINISTERO INFRASTRUTTURE E TRASPORTI-ALLE OOPP LAZIO ABRUZZO SARDEGNA SEDE DI ROMA";""
"ANAC";"CIG_2023";"IMPORTO_SICUREZZA";"IMPORTO_SICUREZZA";"character";"character";"n.d.";"392769";"59,95";"68038";"22000, 11.25, 11307.27";""
"ANAC";"CIG_2023";"TIPO_APPALTO_RISERVATO";"TIPO_APPALTO_RISERVATO";"character";"character";"n.d.";"654876";"99,96";"5";"ART. 143 D.LGS. 50/2016, ART. 112 D.LGS. 50/2016, ART. 5 L. 381/1991";""
"ANAC";"CIG_2023";"CUI_PROGRAMMA";"CUI_PROGRAMMA";"character";"character";"n.d.";"377893";"57,68";"127681";"S00243790516202300001, 0000000000000000000000, 80002650762202100018";""
"ANAC";"CIG_2023";"FLAG_PREV_RIPETIZIONI";"FLAG_PREV_RIPETIZIONI";"character";"character";"n.d.";"1040";"0,16";"3";"0, 1";""
"ANAC";"CIG_2023";"COD_IPOTESI_COLLEGAMENTO";"COD_IPOTESI_COLLEGAMENTO";"character";"character";"n.d.";"644087";"98,32";"10";"1, 8, 5";""
"ANAC";"CIG_2023";"IPOTESI_COLLEGAMENTO";"IPOTESI_COLLEGAMENTO";"character";"character";"n.d.";"644087";"98,32";"10";"RIPETIZIONE DI LAVORI O SERVIZI ANALOGHI, MODIFICHE CONTRATTUALI O VARIANTI PER LE QUALI E' NECESSARIA UNA NUOVA PROCEDURA DI AFFIDAMENTO, PROCEDURA A SEGUITO DI PRECEDENTE GARA ANNULLATA O DESERTA (SENZA ESITO)";""
"ANAC";"CIG_2023";"CIG_COLLEGAMENTO";"CIG_COLLEGAMENTO";"character";"character";"n.d.";"644087";"98,32";"9999";"87962238D8, 55165923BB, 765298315C";""
"ANAC";"CIG_2023";"COD_ESITO";"COD_ESITO";"character";"character";"n.d.";"308067";"47,02";"8";"1, 7, 3";""
"ANAC";"CIG_2023";"ESITO";"ESITO";"character";"character";"n.d.";"308067";"47,02";"8";"AGGIUDICATA, ANNULLATA/REVOCATA DOPO L'APERTURA DELLE BUSTE AMMINISTRATIVE, DESERTA";""
"ANAC";"CIG_2023";"DATA_COMUNICAZIONE_ESITO";"DATA_COMUNICAZIONE_ESITO";"character";"character";"n.d.";"308067";"47,02";"1103";"2025-08-25, 2025-03-31, 2023-06-09";""
"ANAC";"CIG_2023";"FLAG_PNRR_PNC";"FLAG_PNRR_PNC";"character";"character";"n.d.";"2907";"0,44";"3";"1, 0";""
"ANAC";"CIG_2023";"mese_rif";"mese_rif";"character";"character";"n.d.";"0";"0,00";"12";"01, 02, 03";""
