ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2023;ERIC;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;ERIC;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ERIC;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;ERIC;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ERIC;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;ERIC;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ERIC;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;MNST;MM;79;Fondo risorse decentrate dei dirigenti sanitari;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;MNST;MM;79;Fondo risorse decentrate dei dirigenti sanitari;9;Risorse variabili;F;FINANZIA
2023;MNST;MM;79;Fondo risorse decentrate dei dirigenti sanitari;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;MNST;MM;79;Fondo risorse decentrate dei dirigenti sanitari;81;Decurtazioni;F;FINANZIA
2023;MNST;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;MNST;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;MNST;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;MNST;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2023;MNST;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;MNST;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;MNST;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;MNST;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;MNST;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;MNST;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;MNST;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;MNST;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;MNST;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;MNST;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;MNST;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;PCMD;ND;19;Fondo Unico della Presidenza;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;PCMD;ND;19;Fondo Unico della Presidenza;9;Risorse variabili;F;FINANZIA
2023;PCMD;ND;19;Fondo Unico della Presidenza;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;PCMD;ND;19;Fondo Unico della Presidenza;81;Decurtazioni;F;FINANZIA
2023;PCMD;ND;30;Poste temporaneamente allocate all'esterno del Fondo;10;Risorse temporaneamente allocate all'esterno del Fondo;F;FINANZIA
2023;PCMD;ND;30;Poste temporaneamente allocate all'esterno del Fondo;16;Destinazioni temporaneamente allocate all'esterno del Fondo;U;UTILIZZO
2023;PCMD;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;PCMD;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;PCMD;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;PCMD;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;PCMD;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;PCMD;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;PCMD;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;PCMD;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;PCMD;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;PCMD;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;PCMD;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;RALN;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RALN;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;RALN;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RALN;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2023;RALN;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;RALN;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RALN;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;RALN;ND;95;Incarichi di Elevata Qualificazione (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;RALN;ND;95;Incarichi di Elevata Qualificazione (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RALN;ND;95;Incarichi di Elevata Qualificazione (bilancio);81;Decurtazioni;F;FINANZIA
2023;RALN;NF;8;Risorse per la retribuzione di posizione e di risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RALN;NF;8;Risorse per la retribuzione di posizione e di risultato;9;Risorse variabili;F;FINANZIA
2023;RALN;NF;8;Risorse per la retribuzione di posizione e di risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RALN;NF;8;Risorse per la retribuzione di posizione e di risultato;81;Decurtazioni;F;FINANZIA
2023;RALN;SC;77;Segretario comunale e provinciale (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;RALN;SC;77;Segretario comunale e provinciale (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REFR;ND;57;Fondo contrattazione collettiva decentrata integrativa;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;REFR;ND;57;Fondo contrattazione collettiva decentrata integrativa;9;Risorse variabili;F;FINANZIA
2023;REFR;ND;57;Fondo contrattazione collettiva decentrata integrativa;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REFR;ND;57;Fondo contrattazione collettiva decentrata integrativa;81;Decurtazioni;F;FINANZIA
2023;REFR;ND;58;Oneri voci stipendiali diverse;2;Risorse a carico del bilancio;F;FINANZIA
2023;REFR;ND;58;Oneri voci stipendiali diverse;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REFR;NF;40;Fondo contrattazione integrativa dirigenti della Regione;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;REFR;NF;40;Fondo contrattazione integrativa dirigenti della Regione;9;Risorse variabili;F;FINANZIA
2023;REFR;NF;40;Fondo contrattazione integrativa dirigenti della Regione;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REFR;NF;40;Fondo contrattazione integrativa dirigenti della Regione;81;Decurtazioni;F;FINANZIA
2023;REFR;NF;41;Fondo contrattazione integrativa dirigenti Enti Locali;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;REFR;NF;41;Fondo contrattazione integrativa dirigenti Enti Locali;9;Risorse variabili;F;FINANZIA
2023;REFR;NF;41;Fondo contrattazione integrativa dirigenti Enti Locali;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;REFR;NF;41;Fondo contrattazione integrativa dirigenti Enti Locali;81;Decurtazioni;F;FINANZIA
2023;RESA;ND;5;Fondo per le progressioni professionali;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESA;ND;5;Fondo per le progressioni professionali;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;ND;5;Fondo per le progressioni professionali;81;Decurtazioni;F;FINANZIA
2023;RESA;ND;22;Fondo retribuzione di posizione;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESA;ND;22;Fondo retribuzione di posizione;9;Risorse variabili;F;FINANZIA
2023;RESA;ND;22;Fondo retribuzione di posizione;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;ND;22;Fondo retribuzione di posizione;81;Decurtazioni;F;FINANZIA
2023;RESA;ND;37;Fondo per la retribuzione di rendimento;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESA;ND;37;Fondo per la retribuzione di rendimento;9;Risorse variabili;F;FINANZIA
2023;RESA;ND;37;Fondo per la retribuzione di rendimento;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;ND;37;Fondo per la retribuzione di rendimento;81;Decurtazioni;F;FINANZIA
2023;RESA;ND;50;Poste temp. esterne al Fondo progressioni professionali;2;Risorse a carico del bilancio;F;FINANZIA
2023;RESA;ND;50;Poste temp. esterne al Fondo progressioni professionali;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;ND;85;Maggiorazioni e indennità (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;RESA;ND;85;Maggiorazioni e indennità (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;NF;73;Fondo per la retribuzione di risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESA;NF;73;Fondo per la retribuzione di risultato;9;Risorse variabili;F;FINANZIA
2023;RESA;NF;73;Fondo per la retribuzione di risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESA;NF;73;Fondo per la retribuzione di risultato;81;Decurtazioni;F;FINANZIA
2023;RESA;NF;83;Risorse e impieghi a carico del bilancio;2;Risorse a carico del bilancio;F;FINANZIA
2023;RESA;NF;83;Risorse e impieghi a carico del bilancio;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESI;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;RESI;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;RESI;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;RESI;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
