ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;EPNE;F;FINANZIA;11X;INCREMENTI CCNL 16-18 (ART. 51 C. 1);+
2023;MNST;F;FINANZIA;11X;INCREMENTI CCNL 16-18 (ART. 51 C. 1);+
2023;CNEL;F;FINANZIA;11X;INCREMENTI CCNL 16-18 (ART. 51 C. 1);+
2023;EPNE;F;FINANZIA;27L;ART 32 C 2 CCNL 19-21 - 2,57% M.S. 2018;+
2023;EPNE;F;FINANZIA;13H;RIA PERSONALE CESSATO BASE ANNUA (ART59  C.4 P.1 CCNL 02-05);+
2023;RALN;F;FINANZIA;26N;ART 33 DL34/19 - QUOTA PARTE DESTINATA ALLE E.Q.;+
2023;RALN;F;FINANZIA;00E;ART 67 C 2 L E CCNL 16-18 - INCREM. ALTRO PERS. TRASF.;+
2023;RALN;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;CNEL;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;UNIV;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;SSNA;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;REFR;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;EPNE;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;MNST;F;FINANZIA;01S;ART 40 C 3-Q DLGS 165/2001 - DEC. ANNO PER PIANI DI RECUP.;-
2023;CNEL;F;FINANZIA;05L;ART 76 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;ENAC;F;FINANZIA;05L;ART 76 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;MNST;F;FINANZIA;05L;ART 76 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;EPNE;F;FINANZIA;05L;ART 76 C 2 CCNL 16-18 - UNICO IMPORTO CONSOLIDATO 2017;+
2023;MNST;F;FINANZIA;20S;ART 49 C 2 CCNL 19-21 - RIS DIFF STIP PRECED CARICO BILANCIO;+
2023;EPNE;F;FINANZIA;20S;ART 49 C 2 CCNL 19-21 - RIS DIFF STIP PRECED CARICO BILANCIO;+
2023;CNEL;F;FINANZIA;20T;ART 49 C 3 CCNL 19-21 - INCREM (IN % M.S. 2018, TAB D CCNL);+
