ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0A1E;AVVOCATO I CLASSE ED EQUIP.
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0379;AVVOCATO III CLASSE
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0380;AVVOCATO IV CLASSE
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0A2E;AVVOCATO II CLASSE ED EQUIP.
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0383;PROCURATORE II CLASSE
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0845;AVVOCATO GENERALE AGGIUNTO
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0382;PROCURATORE I CLASSE
2023;CDIP;CD;PERSONALE CARR. DIPLOMATICA;E1;CARRIERA DIPLOMATICA;0D0110;SEGRETARIO DI LEGAZIONE
2023;CDIP;CD;PERSONALE CARR. DIPLOMATICA;E1;CARRIERA DIPLOMATICA;0D0106;AMBASCIATORE
2023;CDIP;CD;PERSONALE CARR. DIPLOMATICA;E1;CARRIERA DIPLOMATICA;0D0109;MINISTRO PLENIPOTENZIARIO
2023;CDIP;CD;PERSONALE CARR. DIPLOMATICA;E1;CARRIERA DIPLOMATICA;0D0107;"CONSIGLIERE D'AMBASCIATA"
2023;CDIP;CD;PERSONALE CARR. DIPLOMATICA;E1;CARRIERA DIPLOMATICA;0D0108;CONSIGLIERE DI LEGAZIONE
2023;CPRE;CP;PERSONALE CARR. PREFETTIZIA;I1;CARRIERA PREFETTIZIA;0D0112;VICE PREFETTO
2023;CPRE;CP;PERSONALE CARR. PREFETTIZIA;I1;CARRIERA PREFETTIZIA;0D0113;VICE PREFETTO AGGIUNTO
2023;CPRE;CP;PERSONALE CARR. PREFETTIZIA;I1;CARRIERA PREFETTIZIA;0D0111;PREFETTO
2023;CPRE;CP;PERSONALE CARR. PREFETTIZIA;I1;CARRIERA PREFETTIZIA;0D0291;CONSIGLIERE DI PREFETTURA
