ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0D0T18;DIRIGENTE DI POLIZIA PENITENZIARIA + 18
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0E0220;GENERALE DI BRIGATA
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0D0TEC;DIRIGENTE DI POLIZIA PENITENZIARIA
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0D0AT3;DIRIGENTE AGGIUNTO DI POLIZIA PENITENZIARIA +3
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0D0189;DIRIGENTE SUPERIORE DI POLIZIA PENITENZIARIA
2023;PPEN;NF;DIRIGENTI;DI;DIRIGENTI;0D0A13;DIRIGENTE AGGIUNTO DI POLIZIA PENITENZIARIA +13
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0516;VICE QUESTORE AGGIUNTO + 13 ANNI
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;019207;VICE QUESTORE AGGIUNTO
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0949;VICE QUESTORE
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0400;DIRIGENTE GENERALE C
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0950;VICE QUESTORE AGGIUNTO + 3 ANNI
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0189;DIRIGENTE SUPERIORE
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0511;PRIMO DIRIGENTE + 23 ANNI
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0947;VICE QUESTORE  + 23 ANNI
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0948;VICE QUESTORE  + 18 ANNI
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0194;PRIMO DIRIGENTE
2023;PPSS;NF;DIRIGENTI;DI;DIRIGENTI;0D0515;VICE QUESTORE AGGIUNTO + 23 ANNI
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;014805;DOC.RELIG. SCUOLA EL. MAT. T. D. CONTR. TERMINE ATT. DID.
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;014145;INS. DIPL. ISTIT. II GRADO TEMPO DETERM. NON ANNUALE
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;016133;DOC. LAUR. IST. SEC. II GRADO T. DETERM. NON ANNUALE
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;016804;DOC.RELIG. SCUOLA SECOND. T. D.CON CONTR. TERMINE ATT. DID.
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;014153;INS. SC. ELEMENTARE E EQUIP. TEMPO DETERM. NON ANNUALE
2023;SCTN;CO;PERSONALE DEL COMPARTO;SL;INSEGNANTI A T.D. CON CONTRATTO NON ANNUALE;016137;DOC. SCUOLA MEDIA ED EQUIP. TEMPO DETERM. NON ANNUALE
2023;CPEN;PP;PERSONALE CARRIERA DIRIGENZIALE PENITENZIARIA;CP;CARRIERA PENITENZIARIA;0D0DSP;DIRIGENTE PENITENZIARIO CON INCARICHI SUPERIORI
2023;CPEN;PP;PERSONALE CARRIERA DIRIGENZIALE PENITENZIARIA;CP;CARRIERA PENITENZIARIA;0D0DGP;DIRIGENTE GENERALE PENITENZIARIO
2023;CPEN;PP;PERSONALE CARRIERA DIRIGENZIALE PENITENZIARIA;CP;CARRIERA PENITENZIARIA;0D0DPP;DIRIGENTE PENITENZIARIO
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0PSE;PRESIDENTE DI SEZIONE ED EQUIP.
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0364;PRESIDENTE
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0PGE;PROCURATORE GENERALE ED EQUIP.
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0376;REFERENDARIO
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0COE;CONSIGLIERE CORTE DEI CONTI ED EQUIP.
2023;CCON;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0362;I REFERENDARIO
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;V30891;VIGILE DEL FUOCO ESPERTO CON SCATTO CONVENZIONALE
2023;VVFF;ND;PERSONALE NON DIRIGENTE;CR;VIGILI, CAPI SQUADRA, CAPI REPARTO;V30VF1;VIGILE DEL FUOCO
