ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;I;517;IND. PROV. DA PROVV. SPECIFICI;+
2023;I;470;"INDENNITA' PENSIONABILE L.121/81";+
2023;S;135;COMP. IND. MIGLIORAMENTO OFFERTA FORMATIVA;+
2023;I;154;ALTRE ORE ECCEDENTI;+
2023;I;153;ORE ECCEDENTI ISTITUZIONALI;+
2023;I;105;"INDENNITA' PROVINCIALE";+
2023;I;303;"INDENNITA' DI RISCHIO";+
2023;S;619;"IND. SERVIZIO ALL'ESTERO";+
2023;I;128;ASSEGNO MAGISTRATI;+
2023;S;635;COMPENSO FORFETTARIO DI GUARDIA E IMPIEGO;+
2023;S;305;"INDENNITA' DI ORDINE PUBBLICO E SICUREZZA PUBBLICA";+
2023;S;629;FONDO EFFICIENZA SERVIZI ISTITUZIONALI;+
2023;S;625;"FESTIVITA' PARTICOLARI";+
2023;S;308;"INDENNITA' NOTTURNA";+
2023;S;309;"INDENNITA' FESTIVA";+
2023;I;519;"IND. PERSONALE ALL'ESTERO (L.642/61 E L.1114/62)";+
2023;I;836;"INDENNITA' OPERATIVE SUPPLEMENTARI";+
2023;S;219;COMPENSI SERVIZI ESTERNI;+
2023;I;513;ASSEGNO FUNZIONALE;+
2023;I;516;IND. OPERATIVE FONDAMENTALI;+
2023;I;841;INDENNITÀ QUALIFICHE PROFESSIONALI CYBER;+
2023;I;839;INDENNITÀ ATTIVITÀ DI CONTROLLO DEL TERRITORIO;+
2023;I;837;"INDENNITA' DI POSIZIONE E PEREQUATIVA";+
2023;I;521;IMPORTO AGGIUNTIVO PENSIONABILE;+
2023;I;524;ASSEGNO PENSIONABILE L.427/96;+
2023;S;194;FONDO DI AMMINISTRAZIONE;+
2023;T;117;STRAORDINARIO CONTO TERZI;+
2023;I;221;"ASSEGNO DI SPECIFICITA'";+
2023;I;210;"INDENNITA' MENSILE DI VOLO";+
2023;I;209;IND. NOTTURNA E FESTIVA;+
2023;I;211;"INDENNITA' MENSILE OPERATORI SUBACQUEI";+
2023;S;195;"FONDO DI PRODUTTIVITA'";+
2023;S;192;"INDENNITA' DI SERVIZIO OPERATIVO";+
2023;S;193;"INDENNITA' DI FUNZIONE TECNICA E PROFESSIONALE";+
2023;S;191;"INDENNITA' DI IMPIEGO OPERATIVO";+
2023;I;840;ASSEGNO OMNICOMPRENSIVO;+
2023;S;115;"RETRIBUZIONE POSIZIONE ORGANIZZATIVA ELEVATA RESPONSABILITA'";+
2023;I;160;"INDENNITA' DI PROFESSIONALITA'";+
2023;I;307;SUPERMINIMO;+
2023;S;315;"INDENNITA' AERONAUTICA";+
2023;I;845;INDENNITÀ SPECIFICITÀ CORPO POLIZIA PENITENZIARIA;+
2023;P;035;"CONTRIBUTI A CARICO DELL'AMM. PER FONDI PREV. COMPLEMENTARE";+
2023;P;055;"CONTRIBUTI A CARICO DELL'AMM.NE SU COMP. FISSE E ACCESSORIE";+
2023;P;061;IRAP;+
2023;P;071;SOMME RIMBORSATE PER PERSONALE COMAND./FUORI RUOLO/IN CONV.;+
2023;P;090;RIMBORSI RICEVUTI PER PERS. COMAND./FUORI RUOLO/IN CONV. (-);-
2023;L;011;EROGAZIONE BUONI PASTO;+
2023;L;020;FORMAZIONE DEL PERSONALE;+
2023;L;090;BENESSERE DEL PERSONALE;+
2023;L;107;COPERTURE ASSICURATIVE;+
2023;L;115;CONTRATTI PER RESA SERVIZI/ADEMPIMENTI OBBLIGATORI PER LEGGE;+
2023;P;030;"INDENNITA' DI MISSIONE E TRASFERIMENTO";+
2023;P;015;RETRIBUZIONI PERSONALE  A TEMPO DETERMINATO;+
2023;P;074;ALTRE SOMME RIMBORSATE ALLE AMMINISTRAZIONI;+
2023;P;099;ALTRI RIMBORSI RICEVUTI DALLE AMMINISTRAZIONI (-);-
2023;L;112;INCARICHI DI STUDIO/RICERCA/CONSULENZA;+
2023;L;111;CONTRATTI DI COLLABORAZIONE PROFESSIONALE;+
2023;P;058;QUOTE ANNUE ACCANTONAMENTO TFR O ALTRA IND. FINE SERVIZIO;+
2023;L;110;ALTRE SPESE;+
2023;L;005;ASSEGNI PER IL NUCLEO FAMILIARE;+
2023;L;010;GESTIONE MENSE;+
2023;L;105;SOMME CORRISPOSTE AD AGENZIA DI SOMMINISTRAZIONE(INTERINALI);+
2023;P;062;ONERI PER I CONTRATTI DI SOMMINISTRAZIONE(INTERINALI);+
2023;P;092;COMPENSI AGGIUNTIVI PER LA DIRIGENZA MEDICA E VETERINARIA;+
2023;P;094;COMP.AGGIUNTIVI PERS.INFERM.CO E TECN.SAN.DI RADIOL.MED.;+
2023;P;095;RIMBORSI RICEVUTI  DALLA REGIONE PER LA PEREQUAZIONE STIPEND;-
2023;P;098;SOMME RICEVUTE DA U.E. E/O PRIVATI (-);-
2023;P;065;COMPENSI PER PERSONALE LSU/LPU;+
2023;P;016;RETRIBUZIONI PERSONALE CON CONTRATTO DI FORMAZIONE E LAVORO;+
2023;L;100;EQUO INDENNIZZO AL PERSONALE;+
2023;P;096;RIMBORSI RICEVUTI DA ENTI SSN PER IND. DE MARIA (-);-
2023;P;091;ACCANTONAMENTI PER RINNOVI CONTRATTUALI;+
2023;P;093;COMPENSI AGGIUNTIVI PER LA DIRIGENZA DEL RUOLO SANITARIO;+
2023;P;072;SOMME RIMBORSATE ALLE UNIVERSITÀ PER INDENNITÀ DE MARIA;+
