ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C1485;RALN;DI;0D0165;A24;2;0
R9197;RALN;DI;0D0165;A24;1;0
C1679;RALN;DI;0D0165;A24;1;0
C7179;RALN;DI;0D0165;A24;0;1
C5929;RALN;DI;0D0165;A23;2;0
UC12400;RALN;DI;0D0165;A30;0;1
P9104;RALN;DI;0D0165;A24;1;0
C5917;RALN;DI;0D0165;A24;0;1
C3857;RALN;DI;0D0165;A24;0;1
IP10522;RALN;DI;0D0165;A24;1;0
C5064;RALN;DI;0D0165;A23;1;0
C5961;RALN;DI;0D0165;A23;2;0
C2077;RALN;DI;0D0165;A23;1;0
CS11071;RALN;DI;0D0165;A24;1;0
C2996;RALN;DI;0D0165;A24;1;0
P9115;RALN;DI;0D0165;A30;2;1
C7877;RALN;DI;0D0165;A24;1;0
C441;RALN;DI;0D0165;A23;0;1
P9040;RALN;DI;0D0165;A24;1;0
C3119;RALN;DI;0D0165;A23;1;0
C2591;RALN;DI;0D0165;A23;0;1
C6807;RALN;DI;0D0165;A24;1;0
C2399;RALN;DI;0D0165;A24;1;0
C1869;RALN;DI;0D0165;A24;1;0
R9193;RALN;DI;0D0165;A24;6;2
C4963;RALN;DI;0D0165;A23;0;1
ER11810;RALN;DI;0D0165;A23;0;1
R9209;RALN;DI;0D0165;A24;1;1
C5699;RALN;DI;0D0165;A23;0;1
P9043;RALN;DI;0D0165;A24;2;0
R9196;RALN;DI;0D0165;A24;7;2
C7987;RALN;DI;0D0165;A23;0;2
C6345;RALN;DI;0D0165;A24;1;0
C5532;RALN;DI;0D0165;A24;1;1
V9777;RALN;DI;0D0165;A23;0;1
C792;RALN;DI;0D0165;A24;1;0
P9033;RALN;DI;0D0165;A24;0;1
C7095;RALN;DI;0D0165;A23;1;0
C3697;RALN;DI;0D0165;A24;0;1
C6561;RALN;DI;0D0165;A23;0;1
CS10896;RALN;DI;0D0165;A23;1;0
C4054;RALN;DI;0D0165;A23;1;0
C3079;RALN;DI;0D0165;A24;0;1
C1769;RALN;DI;0D0165;A24;1;0
C5591;RALN;DI;0D0165;A23;2;0
CM12344;RALN;DI;0D0165;A24;0;2
CS10366;RALN;DI;0D0165;A24;1;0
C4618;RALN;DI;0D0165;A24;1;0
UC9994;RALN;DI;0D0165;A24;0;1
C6781;RALN;DI;0D0165;A24;0;1
C5843;RALN;DI;0D0165;A24;1;0
P9095;RALN;DI;0D0165;A24;0;1
C6755;RALN;DI;0D0165;A23;1;0
C8217;RALN;DI;0D0165;A24;1;0
C5513;RALN;DI;0D0165;A24;1;0
C5525;RALN;DI;0D0165;A24;1;0
P9086;RALN;DI;0D0165;A24;1;0
C3073;RALN;DI;0D0165;A23;0;1
CM9053;RALN;DI;0D0165;A24;0;1
C7625;RALN;DI;0D0165;A23;1;0
C6255;RALN;DI;0D0165;A24;1;0
C4577;RALN;DI;0D0165;A24;1;0
C305;RALN;DI;0D0165;A24;1;0
P9063;RALN;DI;0D0165;A23;1;0
C1390;RALN;DI;0D0165;A24;0;1
C626;RALN;DI;0D0165;A23;1;0
C8150;RALN;DI;0D0165;A24;0;1
C2909;RALN;DI;0D0165;A24;1;0
C7397;RALN;DI;0D0165;A30;1;0
C7354;RALN;DI;0D0165;A23;1;0
IP10120;RALN;DI;0D0165;A23;1;0
P9065;RALN;DI;0D0165;A23;1;0
C4326;RALN;DI;0D0165;A24;1;1
P9069;RALN;DI;0D0165;A23;0;1
C430;RALN;DI;0D0165;A24;0;1
C4194;RALN;DI;0D0165;A23;1;0
ER12918;RALN;DI;0D0165;A24;2;0
C4248;RALN;DI;0D0165;A24;1;0
UC10583;RALN;DI;0D0165;A24;0;1
C754;RALN;DI;0D0165;A23;1;1
C473;RALN;DI;0D0165;A23;0;1
P9126;RALN;DI;0D0165;A24;1;0
C3122;RALN;DI;0D0165;A24;1;0
C5226;RALN;DI;0D0165;A24;1;0
ES12933;RALN;DI;0D0165;A24;1;0
C2608;RALN;DI;0D0165;A23;2;0
C6144;RALN;DI;0D0165;A24;0;1
C3042;RALN;DI;0D0165;A24;1;0
C4167;RALN;DI;0D0165;A24;0;1
C1128;RALN;DI;0D0165;A24;1;0
D8369;RALN;DI;0D0165;A30;1;0
ER10865;RALN;DI;0D0165;A24;1;0
D8367;RALN;DI;0D0165;A24;1;0
P9039;RALN;DI;0D0165;A24;1;0
R9207;RALN;DI;0D0165;A24;0;1
C246;RALN;DI;0D0165;A23;1;0
R9201;RALN;DI;0D0165;A23;0;1
C4642;RALN;DI;0D0165;A24;0;1
V15398;RALN;DI;0D0165;A30;0;1
C4712;RALN;DI;0D0165;A24;1;2
C3579;RALN;DI;0D0165;A24;1;0
C6709;RALN;DI;0D0165;A23;1;0
R9205;RALN;DI;0D0165;A24;1;0
P9070;RALN;DI;0D0165;A24;1;0
D8324;RALN;DI;0D0165;A24;1;0
C1789;RALN;DI;0D0165;A30;1;0
C3115;RALN;DI;0D0165;A24;1;0
C4862;RALN;DI;0D0165;A24;1;0
P9077;RALN;DI;0D0165;A24;0;1
R9202;RALN;DI;0D0165;A24;1;1
CM9084;RALN;DI;0D0165;A24;2;0
C8172;RALN;DI;0D0165;A24;1;0
UC8800;RALN;DI;0D0165;A24;0;1
CS11806;RALN;DI;0D0165;A24;0;1
C3706;RALN;DI;0D0165;A23;1;0
C5732;RALN;DI;0D0165;A24;1;1
C2064;RALN;DI;0D0165;A24;0;1
C3924;RALN;DI;0D0165;A24;1;0
C7973;RALN;DI;0D0165;A24;1;0
C7571;RALN;DI;0D0165;A24;1;0
CS10265;RALN;DI;0D0165;A23;0;1
C5096;RALN;DI;0D0165;A23;3;0
C1348;RALN;DI;0D0165;A23;1;0
C1325;RALN;DI;0D0165;A23;1;0
UC12257;RALN;DI;0D0165;A23;0;1
CM9102;RALN;DI;0D0165;A24;3;0
C7516;RALN;DI;0D0165;A24;1;1
ER9954;RALN;DI;0D0165;A24;1;0
C4931;RALN;DI;0D0165;A24;1;0
C3333;RALN;DI;0D0165;A24;7;0
CS10247;RALN;DI;0D0165;A24;0;1
C3573;RALN;DI;0D0165;A24;1;0
C5955;RALN;DI;0D0165;A24;1;0
IP10435;RALN;DI;0D0165;A23;1;0
C3535;RALN;DI;0D0165;A23;0;1
CS14269;RALN;DI;0D0165;A24;1;0
ER15394;RALN;DI;0D0165;A24;1;0
C5170;RALN;DI;0D0165;A24;2;2
C242;RALN;DI;0D0165;A23;1;0
C924;RALN;DI;0D0165;A24;1;0
C3665;RALN;DI;0D0165;A24;1;1
UC10777;RALN;DI;0D0165;A24;1;0
N10808;RALN;DI;0D0165;A24;1;0
C7015;RALN;DI;0D0165;A24;1;0
CS15383;RALN;DI;0D0165;A24;1;0
C2975;RALN;DI;0D0165;A23;0;1
UC10798;RALN;DI;0D0165;A24;0;1
C5131;RALN;DI;0D0165;A24;0;1
C8301;RALN;DI;0D0165;A24;2;0
C2857;RALN;DI;0D0165;A24;1;0
P9059;RALN;DI;0D0165;A23;0;1
CM9080;RALN;DI;0D0165;A24;1;0
C8154;RALN;DI;0D0165;A23;1;0
C2121;RALN;DI;0D0165;A23;1;0
C963;RALN;DI;0D0165;A23;1;1
C7096;RALN;DI;0D0165;A24;1;1
R9199;RALN;DI;0D0165;A24;1;3
C779;RALN;DI;0D0165;A23;0;1
CS15391;RALN;DI;0D0165;A24;2;0
C5873;RALN;DI;0D0165;A23;1;0
P9099;RALN;DI;0D0165;A23;1;1
CS12211;RALN;DI;0D0165;A23;1;0
C2567;RALN;DI;0D0165;A24;2;0
C3977;RALN;DI;0D0165;A23;0;1
C5592;RALN;DI;0D0165;A24;1;1
UC11811;RALN;DI;0D0165;A24;0;1
C1591;RALN;DI;0D0165;A30;1;0
C253;RALN;DI;0D0165;A24;1;0
C4668;RALN;DI;0D0165;A24;1;0
C350;RALN;DI;0D0165;A23;1;0
CS14221;RALN;DI;0D0165;A24;1;0
C7070;RALN;DI;0D0165;A24;0;1
C4513;RALN;DI;0D0165;A24;1;0
CS9919;RALN;DI;0D0165;A24;0;1
C3118;RALN;DI;0D0165;A24;1;0
C5915;RALN;DI;0D0165;A24;2;0
C5616;RALN;DI;0D0165;A23;1;0
C489;RALN;DI;0D0165;A24;0;1
R9194;RALN;DI;0D0165;A24;2;0
C4348;RALN;DI;0D0165;A23;2;1
C1591;RALN;DI;0D0165;A24;1;0
C5171;RALN;DI;0D0165;A24;1;0
C5386;RALN;DI;0D0165;A24;1;0
C5641;RALN;DI;0D0165;A23;1;0
C4496;RALN;DI;0D0165;A23;1;0
C1995;RALN;DI;0D0165;A23;1;0
C5348;RALN;DI;0D0165;A23;0;1
C2731;RALN;DI;0D0165;A24;0;1
UC10784;RALN;DI;0D0165;A24;0;1
C1670;RALN;OE;0OEESP;A23;1;0
C3066;RALN;OE;0OEESP;A23;4;3
C782;RALN;OE;0OEESP;A23;1;0
C6876;RALN;OE;0OEESP;A23;3;3
C1310;RALN;OE;0OEESP;A23;1;0
C2670;RALN;OE;0OEESP;A23;16;1
C3105;RALN;OE;0OEESP;A24;1;0
C5137;RALN;OE;0OEESP;A30;0;1
C15392;RALN;OE;0OEESP;A30;2;1
C4790;RALN;OE;0OEESP;A28;1;0
C3404;RALN;OE;0OEESP;A23;0;1
C7973;RALN;OE;0OEESP;A23;1;2
C4100;RALN;OE;0OEESP;A35;1;0
ES186;RALN;OE;0OEESP;A30;0;1
C1866;RALN;OE;0OEESP;A24;2;0
C1756;RALN;OE;0OEESP;A23;2;0
C4898;RALN;OE;0OEESP;A23;1;0
C2223;RALN;OE;0OEESP;A24;2;1
C5112;RALN;OE;0OEESP;A23;1;0
C4115;RALN;OE;0OEESP;A23;1;0
C5714;RALN;OE;0OEESP;A23;1;0
C4035;RALN;OE;0OEESP;A23;0;1
C12509;RALN;OE;0OEESP;A23;0;1
C8068;RALN;OE;0OEESP;A30;1;0
C2565;RALN;OE;0OEESP;A23;1;0
C7535;RALN;OE;0OEESP;A23;1;0
C5897;RALN;OE;0OEESP;A29;2;1
C4987;RALN;OE;0OEESP;A23;2;0
UC12393;RALN;OE;0OEESP;A23;3;0
C7535;RALN;OE;0OEESP;A30;1;0
C7011;RALN;OE;0OEESP;A23;1;0
C6400;RALN;OE;0OEESP;A23;1;0
C7118;RALN;OE;0OEESP;A23;3;0
IP10522;RALN;OE;0OEESP;A23;27;86
C2381;RALN;OE;0OEESP;A23;1;0
C1948;RALN;OE;0OEESP;A23;0;1
IP10522;RALN;OE;0OEESP;A30;1;0
C3232;RALN;OE;0OEESP;A28;0;1
IP10696;RALN;OE;0OEESP;A23;3;25
C991;RALN;OE;0OEESP;A23;1;0
C4570;RALN;OE;0OEESP;A23;1;0
IP10537;RALN;OE;0OEESP;A23;1;6
C6503;RALN;OE;0OEESP;A23;1;0
C6365;RALN;OE;0OEESP;A23;1;0
C3893;RALN;OE;0OEESP;A23;1;0
C7927;RALN;OE;0OEESP;A23;2;0
C1128;RALN;OE;0OEESP;A23;3;7
C6400;RALN;OE;0OEESP;A30;1;0
C7828;RALN;OE;0OEESP;A24;0;1
C705;RALN;OE;0OEESP;A24;1;0
C5242;RALN;OE;0OEESP;A23;1;2
C12258;RALN;OE;0OEESP;A23;1;1
C8217;RALN;OE;0OEESP;A30;0;1
C6876;RALN;OE;0OEESP;A30;1;0
C7650;RALN;OE;0OEESP;A23;1;1
C6337;RALN;OE;0OEESP;A24;0;2
C1885;RALN;OE;0OEESP;A27;0;2
C6936;RALN;OE;0OEESP;A30;1;0
C5652;RALN;OE;0OEESP;A23;1;0
C1005;RALN;OE;0OEESP;A23;2;0
C8217;RALN;OE;0OEESP;A23;1;0
C5141;RALN;OE;0OEESP;A23;1;0
C6921;RALN;OE;0OEESP;A23;2;0
C6936;RALN;OE;0OEESP;A23;3;0
C1852;RALN;OE;0OEESP;A23;1;1
C5226;RALN;OE;0OEESP;A29;2;4
IP12500;RALN;OE;0OEESP;A41;0;1
C7366;RALN;OE;0OEESP;A23;3;0
C3899;RALN;OE;0OEESP;A23;1;0
C5694;RALN;OE;0OEESP;A23;3;1
C5480;RALN;OE;0OEESP;A23;1;0
C4158;RALN;OE;0OEESP;A30;1;0
IP10625;RALN;OE;0OEESP;A23;5;18
C4859;RALN;OE;0OEESP;A24;1;0
C2654;RALN;OE;0OEESP;A23;1;0
C1677;RALN;OE;0OEESP;A30;2;0
V14363;RALN;OE;0OEESP;A28;0;1
C5820;RALN;OE;0OEESP;A24;0;2
C3320;RALN;OE;0OEESP;A23;1;0
C3877;RALN;OE;0OEESP;A23;1;0
C5662;RALN;OE;0OEESP;A30;0;1
IP12500;RALN;OE;0OEESP;A23;2;15
C5662;RALN;OE;0OEESP;A23;1;0
P9107;RALN;OE;0OEESP;A23;2;0
C3300;RALN;OE;0OEESP;A23;1;0
C7589;RALN;OE;0OEESP;A23;1;2
IP12500;RALN;OE;0OEESP;A30;2;11
UC12542;RALN;OE;0OEESP;A24;1;0
C2876;RALN;OE;0OEESP;A23;1;0
C5803;RALN;OE;0OEESP;A23;0;1
C3140;RALN;OE;0OEESP;A23;1;0
C1432;RALN;OE;0OEESP;A23;1;0
C2876;RALN;OE;0OEESP;A30;1;0
C1963;RALN;OE;0OEESP;A23;2;0
C3269;RALN;OE;0OEESP;A23;1;0
P10801;RALN;OE;0OEESP;A23;1;1
C1816;RALN;OE;0OEESP;A23;1;1
C7616;RALN;OE;0OEESP;A23;1;0
C4244;RALN;OE;0OEESP;A23;1;0
C3859;RALN;OE;0OEESP;A23;1;0
C4582;RALN;OE;0OEESP;A23;1;0
V12403;RALN;OE;0OEESP;A29;0;1
C12748;RALN;OE;0OEESP;A30;2;0
C4502;RALN;OE;0OEESP;A23;2;1
C4347;RALN;OE;0OEESP;A30;1;0
C3977;RALN;OE;0OEESP;A23;2;0
C4513;RALN;OE;0OEESP;A23;1;0
UC10349;RALN;OE;0OEESP;A23;1;0
UC12468;RALN;OE;0OEESP;A24;1;0
C779;RALN;OE;0OEESP;A29;1;0
C4899;RALN;OE;0OEESP;A24;3;2
C6860;RALN;OE;0OEESP;A23;0;1
C14065;RALN;OE;0OEESP;A23;1;0
C870;RALN;OE;0OEESP;A23;1;0
C6216;RALN;OE;0OEESP;A24;1;0
C7984;RALN;OE;0OEESP;A23;1;0
C2045;RALN;OE;0OEESP;A41;0;1
C2448;RALN;OE;0OEESP;A23;0;1
C779;RALN;OE;0OEESP;A23;0;1
C3977;RALN;OE;0OEESP;A41;1;0
C1724;RALN;OE;0OEESP;A24;0;1
C3983;RALN;OE;0OEESP;A24;1;0
C2317;RALN;OE;0OEESP;A23;2;0
C3538;RALN;OE;0OEESP;A23;1;0
C2456;RALN;OE;0OEESP;A29;1;0
C3025;RALN;OE;0OEESP;A23;0;1
C1907;RALN;OE;0OEESP;A23;0;1
C4756;RALN;OE;0OEESP;A23;0;1
C4021;RALN;OE;0OEESP;A23;1;0
C3333;RALN;OE;0OEESP;A31;3;0
C7635;RALN;OE;0OEESP;A23;1;5
C3478;RALN;OE;0OEESP;A23;1;0
C4954;RALN;OE;0OEESP;A23;2;0
C230;RALN;OE;0OEESP;A31;1;0
UC10868;RALN;OE;0OEESP;A24;2;0
C4361;RALN;OE;0OEESP;A24;1;0
ER10171;RALN;OE;0OEESP;A23;4;0
C615;RALN;OE;0OEESP;A23;3;0
C6222;RALN;OE;0OEESP;A23;0;1
C4911;RALN;OE;0OEESP;A24;0;1
IP10259;RALN;OE;0OEESP;A41;1;2
C7144;RALN;OE;0OEESP;A23;1;0
C4783;RALN;OE;0OEESP;A24;0;1
C1361;RALN;OE;0OEESP;A24;0;1
C6204;RALN;OE;0OEESP;A23;1;0
C8251;RALN;OE;0OEESP;A23;1;0
C3987;RALN;OE;0OEESP;A23;0;2
C5702;RALN;OE;0OEESP;A23;1;1
C4456;RALN;OE;0OEESP;A23;1;0
C7120;RALN;OE;0OEESP;A28;0;1
C7783;RALN;OE;0OEESP;A31;0;1
C2299;RALN;OE;0OEESP;A23;1;0
C6345;RALN;OE;0OEESP;A23;2;0
C12892;RALN;OE;0OEESP;A24;2;0
C4326;RALN;OE;0OEESP;A29;1;0
C7543;RALN;OE;0OEESP;A23;1;0
C4487;RALN;OE;0OEESP;A23;1;0
C6440;RALN;OE;0OEESP;A23;1;0
C4326;RALN;OE;0OEESP;A23;0;1
P9091;RALN;OE;0OEESP;A31;0;1
C2783;RALN;OE;0OEESP;A41;0;1
C2429;RALN;OE;0OEESP;A23;1;0
C7589;RALN;OE;0OEESP;A24;1;2
C3333;RALN;OE;0OEESP;A24;26;40
C4000;RALN;OE;0OEESP;A29;1;0
C6752;RALN;OE;0OEESP;A23;1;1
C3333;RALN;OE;0OEESP;A23;11;9
C5197;RALN;OE;0OEESP;A23;1;0
C435;RALN;OE;0OEESP;A28;1;0
C1504;RALN;OE;0OEESP;A24;2;1
C6752;RALN;OE;0OEESP;A24;2;2
C2856;RALN;OE;0OEESP;A23;1;0
C7120;RALN;OE;0OEESP;A24;1;0
C2501;RALN;OE;0OEESP;A24;1;0
C6064;RALN;OE;0OEESP;A24;1;0
C5090;RALN;OE;0OEESP;A29;0;1
C6771;RALN;OE;0OEESP;A23;1;0
C3815;RALN;OE;0OEESP;A30;1;0
C7846;RALN;OE;0OEESP;A23;1;0
C7598;RALN;OE;0OEESP;A23;1;0
N10728;RALN;OE;0OEESP;A23;2;0
C6519;RALN;OE;0OEESP;A23;1;0
C4104;RALN;OE;0OEESP;A30;1;1
C2240;RALN;OE;0OEESP;A23;1;0
C6776;RALN;OE;0OEESP;A23;2;0
C2306;RALN;OE;0OEESP;A23;1;0
C425;RALN;OE;0OEESP;A23;3;0
C6810;RALN;OE;0OEESP;A23;1;0
C4445;RALN;OE;0OEESP;A23;2;0
C5085;RALN;OE;0OEESP;A23;1;0
C487;RALN;OE;0OEESP;A23;0;1
IP10410;RALN;OE;0OEESP;A23;1;2
C2023;RALN;OE;0OEESP;A23;2;0
CS12822;RALN;OE;0OEESP;A23;1;0
C2960;RALN;OE;0OEESP;A23;1;0
C6356;RALN;OE;0OEESP;A23;1;0
C642;RALN;OE;0OEESP;A30;1;0
C2319;RALN;OE;0OEESP;A23;3;0
C6709;RALN;OE;0OEESP;A23;1;0
C750;RALN;OE;0OEESP;A23;1;0
C6198;RALN;OE;0OEESP;A23;2;0
C3051;RALN;OE;0OEESP;A23;1;0
C8173;RALN;OE;0OEESP;A23;1;0
C6144;RALN;OE;0OEESP;A29;2;3
C725;RALN;OE;0OEESP;A23;1;0
C1917;RALN;OE;0OEESP;A24;1;0
C5793;RALN;OE;0OEESP;A27;0;1
C6144;RALN;OE;0OEESP;A30;0;1
C2164;RALN;OE;0OEESP;A23;1;0
C528;RALN;OE;0OEESP;A29;0;1
C528;RALN;OE;0OEESP;A30;0;1
C7967;RALN;OE;0OEESP;A30;2;1
C5560;RALN;OE;0OEESP;A23;1;0
C7967;RALN;OE;0OEESP;A23;3;0
V9717;RALN;OE;0OEESP;A24;0;1
C5467;RALN;OE;0OEESP;A23;1;0
C3115;RALN;OE;0OEESP;A23;1;0
C1650;RALN;OE;0OEESP;A30;2;0
C1354;RALN;OE;0OEESP;A23;1;0
R9199;RALN;OE;0OEESP;A23;8;11
C3184;RALN;OE;0OEESP;A23;4;0
C3928;RALN;OE;0OEESP;A23;1;0
CS9936;RALN;OE;0OEESP;A30;0;1
C4714;RALN;OE;0OEESP;A23;2;0
UC12281;RALN;OE;0OEESP;A23;0;7
C1442;RALN;OE;0OEESP;A24;0;1
C1183;RALN;OE;0OEESP;A24;1;0
C6822;RALN;OE;0OEESP;A23;1;0
C8157;RALN;OE;0OEESP;A30;0;1
C1018;RALN;OE;0OEESP;A23;1;0
C6173;RALN;OE;0OEESP;A23;1;0
ES159;RALN;OE;0OEESP;A23;2;0
C7368;RALN;OE;0OEESP;A23;4;0
C8191;RALN;OE;0OEESP;A24;0;1
C5945;RALN;OE;0OEESP;A23;4;0
C2412;RALN;OE;0OEESP;A23;1;1
C509;RALN;OE;0OEESP;A41;0;2
C2170;RALN;OE;0OEESP;A23;0;1
C4447;RALN;OE;0OEESP;A23;2;0
C945;RALN;OE;0OEESP;A23;1;0
C5148;RALN;OE;0OEESP;A23;2;0
C3032;RALN;OE;0OEESP;A23;1;0
C708;RALN;OE;0OEESP;A23;1;0
C4642;RALN;OE;0OEESP;A24;1;0
C8005;RALN;OE;0OEESP;A24;1;0
C3042;RALN;OE;0OEESP;A35;0;2
C4104;RALN;OE;0OEESP;A24;0;1
C3571;RALN;OE;0OEESP;A23;0;1
C1628;RALN;OE;0OEESP;A23;0;1
C4642;RALN;OE;0OEESP;A31;0;1
C1753;RALN;OE;0OEESP;A24;0;1
UC10784;RALN;OE;0OEESP;A23;1;0
C3546;RALN;OE;0OEESP;A23;2;0
C4957;RALN;OE;0OEESP;A23;1;0
C5664;RALN;OE;0OEESP;A23;2;0
C3090;RALN;OE;0OEESP;A23;1;0
C10950;RALN;OE;0OEESP;A23;1;0
C5340;RALN;OE;0OEESP;A23;11;5
C5605;RALN;OE;0OEESP;A30;1;0
C6144;RALN;OE;0OEESP;A23;10;0
R9199;RALN;OE;0OEESP;A30;1;2
C5163;RALN;OE;0OEESP;A23;2;0
C3734;RALN;OE;0OEESP;A30;1;0
C3042;RALN;OE;0OEESP;A23;35;20
C601;RALN;OE;0OEESP;A23;2;0
C307;RALN;OE;0OEESP;A23;1;0
ER12885;RALN;OE;0OEESP;A29;4;2
C333;RALN;OE;0OEESP;A23;3;0
CM9061;RALN;OE;0OEESP;A24;10;0
C703;RALN;OE;0OEESP;A23;1;2
CM9061;RALN;OE;0OEESP;A28;2;0
CM9061;RALN;OE;0OEESP;A30;2;0
ER12885;RALN;OE;0OEESP;A23;14;37
C3854;RALN;OE;0OEESP;A23;2;0
C2440;RALN;OE;0OEESP;A23;0;1
P9121;RALN;OE;0OEESP;A23;1;0
R9192;RALN;OE;0OEESP;A23;8;8
R9192;RALN;OE;0OEESP;A31;1;1
C6195;RALN;OE;0OEESP;A23;1;0
C7430;RALN;OE;0OEESP;A23;1;0
C524;RALN;OE;0OEESP;A23;1;0
C453;RALN;OE;0OEESP;A23;2;0
C6004;RALN;OE;0OEESP;A29;1;0
C7484;RALN;OE;0OEESP;A28;7;5
C2118;RALN;OE;0OEESP;A23;1;0
C601;RALN;OE;0OEESP;A30;1;0
C4378;RALN;OE;0OEESP;A23;1;0
C7484;RALN;OE;0OEESP;A24;1;0
IP10785;RALN;OE;0OEESP;A23;1;14
IP10920;RALN;OE;0OEESP;A41;3;4
C1591;RALN;OE;0OEESP;A24;2;0
C6052;RALN;OE;0OEESP;A24;1;1
UC9862;RALN;OE;0OEESP;A23;1;0
C3002;RALN;OE;0OEESP;A23;1;0
C4712;RALN;OE;0OEESP;A23;1;3
P9106;RALN;OE;0OEESP;A28;1;0
C3200;RALN;OE;0OEESP;A23;1;0
C1058;RALN;OE;0OEESP;A23;1;2
C352;RALN;OE;0OEESP;A23;1;0
C601;RALN;OE;0OEESP;A28;3;1
IP12443;RALN;OE;0OEESP;A23;0;5
C7686;RALN;OE;0OEESP;A23;1;0
C1063;RALN;OE;0OEESP;A23;2;0
C3664;RALN;OE;0OEESP;A23;1;0
P9106;RALN;OE;0OEESP;A23;3;0
C3520;RALN;OE;0OEESP;A23;2;0
PA98;RALN;OE;0OEESP;A29;1;0
C7098;RALN;OE;0OEESP;A24;1;0
C6347;RALN;OE;0OEESP;A23;1;0
C3115;RALN;OE;0OEESP;A28;1;2
C7902;RALN;OE;0OEESP;A29;1;1
C4229;RALN;OE;0OEESP;A30;1;1
C7687;RALN;OE;0OEESP;A23;0;1
C7670;RALN;OE;0OEESP;A23;4;0
C2292;RALN;OE;0OEESP;A23;0;1
C7098;RALN;OE;0OEESP;A23;0;2
C507;RALN;OE;0OEESP;A23;1;0
C11891;RALN;OE;0OEESP;A23;1;0
C545;RALN;OE;0OEESP;A23;2;0
C2348;RALN;OE;0OEESP;A23;2;0
C7042;RALN;OE;0OEESP;A23;1;0
C6494;RALN;OE;0OEESP;A23;1;0
C2298;RALN;OE;0OEESP;A23;1;0
C7902;RALN;OE;0OEESP;A23;1;1
C5013;RALN;OE;0OEESP;A23;1;0
D12586;RALN;OE;0OEESP;A31;1;0
C4690;RALN;OE;0OEESP;A23;1;0
C2378;RALN;OE;0OEESP;A23;1;0
C2702;RALN;OE;0OEESP;A23;1;0
C3150;RALN;OE;0OEESP;A23;1;0
C7163;RALN;OE;0OEESP;A23;1;0
C3433;RALN;OE;0OEESP;A27;1;0
C575;RALN;OE;0OEESP;A41;1;0
C4276;RALN;OE;0OEESP;A23;5;0
C420;RALN;OE;0OEESP;A23;1;0
C7837;RALN;OE;0OEESP;A23;0;1
C4910;RALN;OE;0OEESP;A23;0;1
C3315;RALN;OE;0OEESP;A23;1;0
C2114;RALN;OE;0OEESP;A23;1;1
C7497;RALN;OE;0OEESP;A23;1;0
C5738;RALN;OE;0OEESP;A23;2;0
C5516;RALN;OE;0OEESP;A23;1;0
C6579;RALN;OE;0OEESP;A23;1;0
C3837;RALN;OE;0OEESP;A23;1;0
C3520;RALN;OE;0OEESP;A24;1;0
C6102;RALN;OE;0OEESP;A23;1;0
C7032;RALN;OE;0OEESP;A23;1;0
C2926;RALN;OE;0OEESP;A23;1;0
C4171;RALN;OE;0OEESP;A23;2;0
PA11817;RALN;OE;0OEESP;A23;0;1
C2002;RALN;OE;0OEESP;A23;1;0
C4130;RALN;OE;0OEESP;A29;0;1
C430;RALN;OE;0OEESP;A23;4;4
C2737;RALN;OE;0OEESP;A23;1;0
C233;RALN;OE;0OEESP;A23;1;0
P9063;RALN;OE;0OEESP;A23;3;1
C4130;RALN;OE;0OEESP;A23;1;0
C6823;RALN;OE;0OEESP;A24;4;4
C4644;RALN;OE;0OEESP;A23;1;0
C4423;RALN;OE;0OEESP;A23;1;0
C3283;RALN;OE;0OEESP;A29;1;0
C5290;RALN;OE;0OEESP;A23;1;0
C992;RALN;OE;0OEESP;A23;1;0
C3545;RALN;OE;0OEESP;A23;1;0
C1051;RALN;OE;0OEESP;A23;3;0
C5030;RALN;OE;0OEESP;A27;8;2
C1429;RALN;OE;0OEESP;A23;2;0
C6018;RALN;OE;0OEESP;A24;2;1
C6719;RALN;OE;0OEESP;A30;0;1
C6731;RALN;OE;0OEESP;A23;1;0
C12270;RALN;OE;0OEESP;A23;2;0
C6913;RALN;OE;0OEESP;A23;1;0
C4963;RALN;OE;0OEESP;A30;2;1
C6731;RALN;OE;0OEESP;A30;1;0
C4514;RALN;OE;0OEESP;A23;1;0
C3500;RALN;OE;0OEESP;A23;1;0
C2017;RALN;OE;0OEESP;A23;1;0
C6412;RALN;OE;0OEESP;A23;1;0
C3969;RALN;OE;0OEESP;A23;1;0
C334;RALN;OE;0OEESP;A23;2;0
C4963;RALN;OE;0OEESP;A23;1;0
C4589;RALN;OE;0OEESP;A23;1;0
C846;RALN;OE;0OEESP;A24;1;1
C6366;RALN;OE;0OEESP;A24;1;1
C7045;RALN;OE;0OEESP;A23;1;2
C7593;RALN;OE;0OEESP;A23;0;1
C685;RALN;OE;0OEESP;A23;1;0
C1872;RALN;OE;0OEESP;A23;2;0
C2115;RALN;OE;0OEESP;A23;0;1
C4922;RALN;OE;0OEESP;A27;0;1
C2640;RALN;OE;0OEESP;A24;1;0
C4761;RALN;OE;0OEESP;A24;3;2
C13912;RALN;OE;0OEESP;A30;0;1
C6157;RALN;OE;0OEESP;A23;1;0
C6339;RALN;OE;0OEESP;A23;0;1
C4055;RALN;OE;0OEESP;A30;1;0
C6019;RALN;OE;0OEESP;A23;1;0
C5740;RALN;OE;0OEESP;A23;1;0
C4055;RALN;OE;0OEESP;A23;1;0
