ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C7695;REFR;CB;21283,6;37,4;1767,58;282,82;1109,35;1603,61
C7695;REFR;CD;29060,9;17,05;2445,09;147,52;2685,04;1416,1
C7695;REFR;XA;24688,38;16,66;2065,17;390,19;2769,31;4060,33
C7695;REFR;XB;29195,36;77,55;2437,18;657,18;3886,91;3782
C2311;REFR;CB;21590,25;0;1802,5;327,75;1203;966,75
C2311;REFR;CD;32103;0;2675;508;14007;1596
C631;REFR;CA;20679;15;1724,5;108;1827;2496,5
C631;REFR;CC;24795,06;16,23;2068,18;467,69;1322,59;2428,27
C631;REFR;CB;21536,83;28,52;1799,77;592,74;1193,02;2755,97
C631;REFR;CD;30034,44;0;2835,79;475,67;6839,91;1967,8
C631;REFR;XA;25284,47;33,27;2146,07;403,64;2811,7;4086,81
C631;REFR;XB;28651;0;3184;78;14670;0
U14017;REFR;DI;44566;0;5252;0;22221;0
U14017;REFR;CC;25410,9;57,86;2122,59;0;2003,73;1820,66
U14017;REFR;CB;22407,97;11,55;1886,42;0;1168,32;1559,62
U14017;REFR;CD;29377,1;6,19;2579,95;0;3234,35;1546,88
C2879;REFR;CC;25216;0;2101,5;19,5;1325,5;2814
C2879;REFR;CB;20257,1;0;1681,01;279,04;1153,02;1812,94
C2879;REFR;CD;32282;0;3167;0;7233;1784
C5586;REFR;CC;24146,38;0;2013,48;289,58;1317,42;193,7
C5586;REFR;CB;21433,57;36;1790,35;732,78;1175,74;2002,43
C5586;REFR;CD;29231,5;0;3033;399,75;10465,75;209,25
C6261;REFR;FP;41779;0;5521;0;33942;36556
C6261;REFR;CC;24723,57;41,1;2063,63;307,42;1320,86;2988,77
C6261;REFR;CB;21704,74;35,78;1815,98;608,23;1162,78;3563,66
C6261;REFR;CD;29097,61;0;2414,74;280,48;4527,61;3528,77
C6261;REFR;XA;24880,73;0;2073,45;287,82;2640,73;4527,27
C6261;REFR;XB;28471,5;0;2372,5;122,5;9766;2640,5
C6901;REFR;CC;24673,67;0;2056;321,67;1320,67;2182
C6901;REFR;CB;21814;23;1823,33;140;1200,33;4172,67
C6901;REFR;CD;31053,33;0;3286,33;331,67;12793,33;3281,33
C2863;REFR;FP;41779;0;6900;0;40927;13979
C2863;REFR;CC;25239,24;52,44;2110,25;38,46;1384,38;2430,37
C2863;REFR;CB;21946,06;54,74;1843,16;71,59;1185,5;2426,77
C2863;REFR;CD;30150,24;50,85;2943,98;179,52;9763,77;1851,64
C2863;REFR;XA;25396,21;0;2116,42;1352,21;2833,05;4570,95
C2863;REFR;XB;31868;0;3308;0;17850;0
C3443;REFR;DI;44505,4;331,8;6370,8;0;43255,2;9341,8
C3443;REFR;FP;41503;0;7480;0;89316;675
C3443;REFR;CA;19924,7;37,98;1650,41;3,05;1762,76;1285,4
C3443;REFR;CC;25030,37;10,25;2106,48;268,33;1656,08;1071,29
C3443;REFR;CB;21423,83;18,05;1796,42;322,03;1194,29;1450,29
C3443;REFR;CD;30129,88;15,66;2652,6;327,58;2933,79;1958
C3443;REFR;XA;25097,11;0,83;2091,3;377;2797,11;3722,25
C3443;REFR;XC;36593;457;3799;1601;15460;0
C3443;REFR;XB;27443,33;0;2289;1838,67;2984,33;3151
C4759;REFR;CC;24688,7;0;2057,48;1017,39;1514,61;747,13
C4759;REFR;CB;21664,5;0;1805,5;89,5;1362;468,5
C4759;REFR;CD;29734,7;165,73;2968,54;168,65;7347,89;0
C7646;REFR;DI;44566,21;0;7632,27;1,54;66502,96;2877,79
C7646;REFR;FP;41779;0;10616;0;76851;23310
C7646;REFR;CA;20200,31;51,46;1713,76;254,71;854,88;2040,87
C7646;REFR;CC;25007,77;16,5;2091,23;259,97;1704,61;1738,33
C7646;REFR;CB;21556,58;26,44;1802,19;322,84;989,33;1972,93
C7646;REFR;CD;30056,68;18,33;2576,99;588,43;4614,04;2566,51
C7646;REFR;XA;25137,45;5,47;1920,15;1470,49;2528,79;5105,86
C7646;REFR;XC;36645;0;3069;0;16197;775
C7646;REFR;XB;29935,87;54,37;2502,56;1556,7;4858,19;3801,16
C7646;REFR;XS;21705;0;1809;339;970;5179
C6455;REFR;CC;24736,43;7,54;2061,91;269,71;1324,02;1034,61
C6455;REFR;CB;21677,05;154,01;1842,43;399,22;1188,03;1203,9
C6455;REFR;CD;30388,8;0;3014,72;540,8;9128,64;301,44
C1750;REFR;FP;41779;0;6826;0;46971;18421
C1750;REFR;CC;25010,08;12,72;2085,27;411,16;1323,88;3692,55
C1750;REFR;CB;21095,45;32,36;1762,18;362,73;1179,45;2203,09
C1750;REFR;CD;29089,8;10,68;2680,23;587,79;5820,35;4157,69
C1750;REFR;XA;24637,64;0;2034,16;993,97;2810,48;2588,07
C1750;REFR;XC;31172;0;3263;114;14047;0
C6389;REFR;FP;41779;0;6713;0;32974;31396
C6389;REFR;CA;20196,5;0;1683;93,5;2042;2063,5
C6389;REFR;CC;25125,05;0;2089,91;495,73;1505,2;1600,41
C6389;REFR;CB;21093,46;47,54;1760,03;210,89;1630,59;3091,66
C6389;REFR;CD;32045,5;0;2674,25;136,75;13640;658
C6389;REFR;XA;24854,5;0;2071,25;688;3059,75;5416,5
C6389;REFR;XB;28651;0;2388;0;13827;0
AG10561;REFR;CC;24060;0;3007,5;0;620,5;0
AG10561;REFR;CD;33337;0;5556;0;17472;0
UC12493;REFR;CC;24211,8;15,01;2023,48;12,72;1286,81;354,62
UC12493;REFR;CB;23040,33;65,33;1928,33;190,33;1209;691
UC12493;REFR;CD;31031,18;46,56;3186,97;9,44;10246,15;98,46
UC12493;REFR;XA;24415,29;0;2059,56;22,25;2792,26;2549,7
UC12493;REFR;XC;33337;0;4009;0;23135;0
UC12493;REFR;XB;28117,02;0;2343,05;102,71;2986,37;3245,49
C12289;REFR;FP;41779;0;3575;0;15855;26013
C12289;REFR;CC;25066,11;6,01;2100,35;260,21;1857,63;1348
C12289;REFR;CB;20781,13;0;1732,38;618,63;1163,75;916
C12289;REFR;CD;31405,75;0;2617;172,75;9971,75;3203,25
C12289;REFR;XA;25447;0;2121;313;2857,67;2881,33
C12289;REFR;XB;30671;0;2556;477;19841;0
IP11873;REFR;CC;24471;0;2104,67;10,33;120,33;0
IP11873;REFR;CB;22431,07;0;1997,4;0,37;164,47;1004,65
IP11873;REFR;CD;29921,94;0;2579,64;9,38;888,02;1302,45
CS11861;REFR;CA;19890;0;1658;0;1757;2246
CS11861;REFR;CC;24493;0;2041;2;1702;2341
CS11861;REFR;CB;22054;0;1842;13;1219;2341
CS11861;REFR;CD;30586;15,8;2553,2;3,2;6654,6;1823,2
C3738;REFR;FP;41779;0;5469;0;30127;20005
C3738;REFR;CA;19812,78;0;1654,45;310,65;1749,9;4886,93
C3738;REFR;CC;24596,83;39,61;2058,63;172,45;1313,29;2768,41
C3738;REFR;CB;21151,16;5,16;1766,33;635,41;1171,73;3966,47
C3738;REFR;CD;28947,69;3,42;2572,22;179,3;4171,08;1703,32
C3738;REFR;XA;24784,91;9,26;2066,17;378,29;2836,91;5090,29
C3738;REFR;XC;31172;0;3394;0;14509;0
C644;REFR;CA;19275;0;1606;0;1702;2468
C644;REFR;CC;25034,23;33,29;2104,35;355,13;1330,8;2996,98
C644;REFR;CB;21886,48;0;1823,21;317,55;1196,06;3510,15
C644;REFR;CD;29207,17;42,73;2649,68;271,79;4689,85;2940,78
C644;REFR;XA;25277,42;0;2110,87;901,1;2837,33;5575,7
C644;REFR;XC;33337;0;3160;450;9897;747
C7852;REFR;CC;24624,2;0;2079,14;446,62;1321,14;2028,06
C7852;REFR;CB;20452,5;0;1704,5;154;1155;1448
C7852;REFR;CD;32720;265,5;2749;643;10232;1158,5
C7852;REFR;XA;25884;0;2157;144;2861;3603
C4787;REFR;CC;25218;25,48;2106,11;150,02;1529,14;943,82
C4787;REFR;CB;21617,16;8,54;1804,27;172,06;1119,07;725,79
C4787;REFR;CD;29538,27;78,13;2645,39;280,54;3878,05;2459,73
C4787;REFR;XA;25836,34;0;2147,1;999,5;2790,08;3118,31
C1468;REFR;CA;19890;0;1658;0;1757;65
C1468;REFR;CC;24813,34;39,17;2070,96;471,69;1322,6;1354,41
C1468;REFR;CB;22033,79;0;1838,55;953,36;1192,6;950,81
C1468;REFR;CD;29606,51;0;2933,14;263,47;9384,53;1386,07
C1468;REFR;XA;24350,18;0;2053,53;719,26;2839,58;1916,22
C7643;REFR;FP;41779;0;6245;0;38426;679
C7643;REFR;CC;25099,43;44,32;2104,88;524,6;1324,74;1148,71
C7643;REFR;CB;21536,52;11,92;1785,87;137,28;1172,88;1584,34
C7643;REFR;CD;29457,64;0;2978,55;322,91;9594,91;2302,18
C7643;REFR;XA;24972;0;2081;1422,5;2838,5;734
C7643;REFR;XS;21345;0;1779;0;1161;0
RS9195;REFR;DI;44567,96;481,67;3755,35;0;42060,65;27356,52
RS9195;REFR;CA;20214,93;938,24;3493,79;615,54;103,01;1896,46
RS9195;REFR;CC;24995,86;271,45;4361,16;481,91;126,26;2505,77
RS9195;REFR;CB;21280,27;275,48;3596,43;1018,24;111,06;2736,17
RS9195;REFR;CD;31094,63;317,78;5108,74;675,65;2486,39;2870,69
RS9195;REFR;ZA;24261,5;3,04;3522,55;292,7;1104,72;2681,09
RS9195;REFR;ZB;26073,59;71,75;4411,82;684,74;2058,66;5245,65
RS9195;REFR;ZC;33021,49;762,59;5741,88;739,07;2983,34;4932,16
