ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C282;RALN;EQ;23227,23;0;3084,82;90,86;11675,71;382,76
C3770;RALN;IR;21386,75;37,37;1937,83;1088,32;1093,14;2925,73
C3770;RALN;OP;18223,53;0;1642,59;172;474,59;2337,65
C3770;RALN;EQ;23288,62;27,03;2369,28;804,21;3217,19;3103,9
C3770;RALN;OE;19128,35;48,71;1761,05;998,31;583,62;2252,51
C3770;RALN;DI;41779,16;0;6362,32;0;42535,94;626,71
C3770;RALN;FP;41779;0;8079;0;65474;627
C3030;RALN;IR;21393;54;2044;0;1781;1726
C3030;RALN;EQ;23212;512;3009;0;1028;817
C3030;RALN;OE;19294;0;1706;0;572;1616
C8002;RALN;IR;21992,31;31,69;2386,15;0;7338,15;1083,69
C8002;RALN;OE;19100,94;0;1703,49;0;571,91;300,26
C5585;RALN;IR;21931,64;43,08;2003,74;544,97;663,58;3638,36
C5585;RALN;EQ;24322;0;3050;311;11053;415
C5585;RALN;FP;42822;0;3576;0;29550;1762
C6049;RALN;IR;21332;0;1818;1396;635;2321
C6049;RALN;EQ;23135,36;0;2815,93;1887,86;9562,71;3409,07
C6049;RALN;OE;19246;0;1685,33;0;570,67;1500
C6049;RALN;FP;41779;0;5956;0;40409;12232
C5627;RALN;IR;21758,55;17,56;1919,17;303,56;1046;2702,69
C5627;RALN;EQ;23574,41;57,21;2492,26;310,25;5166,78;3213,47
C5627;RALN;OE;19414,27;29,26;1751,94;361,7;621,21;1338,82
C3857;RALN;IR;21717,44;27,05;1955,99;412,6;1376,49;3023,46
C3857;RALN;EQ;23224,33;31,82;2331,73;250,83;3908,11;2169,02
C3857;RALN;OE;19305,88;126,24;1849,44;588,48;559,87;2390,2
C3857;RALN;DI;41775,69;0;8643,13;0;51765,16;1294,39
C3857;RALN;FP;41779;202;7093;0;49624;627
C3684;RALN;IR;21392,59;15,1;1920,7;0;994,26;2672,81
C3684;RALN;EQ;23440,09;0;3172,64;0;16909,91;933,55
C3684;RALN;OE;19121;111,67;1702,67;189,67;563,67;1917,33
C4690;RALN;IR;21562,91;0;1879,61;57,97;1727,64;2987,26
C4690;RALN;OP;18421,36;0;1622,24;0;1171,91;2236,72
C4690;RALN;EQ;23699,19;101,43;2457,85;120,98;6094,02;3054,09
C4690;RALN;OE;19288,07;0;1709,37;265,46;1377,27;3147,06
C2132;RALN;IR;21391,8;0;2706,6;0;10594,8;633
C2132;RALN;OE;19381;0;1706;895;572;1920
C1592;RALN;IR;21392,89;46,67;1918,22;676;926,89;5066,89
C1592;RALN;EQ;23212,35;61,81;2875,96;487,43;10316,71;2687,26
C1592;RALN;OE;19120,53;0;1738,48;798,83;564,38;3226,71
C1592;RALN;FP;41779;0;5944;0;44075;4545
C6367;RALN;IR;21386,64;12,53;1851,81;465,73;1102,78;6222,96
C6367;RALN;OP;18223,5;140,5;1679;243;482,5;5025
C6367;RALN;EQ;23421,25;17,75;3075,75;27,25;12900,5;3665,75
C6367;RALN;OE;19155,6;136,8;1869;195,6;632,4;4536
C2691;RALN;IR;21392,84;0;1937,05;471,16;2388,63;4137,16
C2691;RALN;EQ;23212,44;0;2376,44;156,44;5356;3580,44
C336;RALN;IR;21392,86;0;1832;288;1430,86;2338
C336;RALN;EQ;23212;63,5;2167,5;0;17388,5;1144
C336;RALN;OE;19452,74;0;1778,37;2253,4;1153,94;2456,88
C6739;RALN;IR;21434,36;237,82;1897,64;462;975,45;1950,18
C6739;RALN;OP;18404,45;0;1574,55;76,36;481,39;391,39
C6739;RALN;EQ;24028,65;139,59;2914,04;0;9729,06;2554,29
C6739;RALN;OE;19523,68;165,79;1743,77;51,99;570,54;368,36
C7081;RALN;IR;21516;0;1860;612;1454;10880
C7081;RALN;EQ;23436,37;0;2292,77;399,82;11365,78;18873,46
C5478;RALN;IR;21770,45;27,66;1942,78;164,6;3100,34;2232,65
C5478;RALN;OP;18455;0;1632;0;481;572
C5478;RALN;EQ;24017,53;379,91;2304,34;32,85;7491,91;1687,32
C5478;RALN;OE;19632,55;22,68;1788,47;92,02;563,36;1275,9
C2883;RALN;IR;21812;412;1817;0;6835;3749
C2883;RALN;OE;19216,99;6,07;1583,01;970,87;592,23;1274,76
C5746;RALN;IR;21392,86;0;1800,57;438,29;904,57;1438,86
C5746;RALN;EQ;23212,36;0;2993,18;0;12127,91;1609,36
C5746;RALN;OE;19035;0;1453;80,5;529;3001,5
C3115;RALN;IR;21626,33;24,56;1894,13;382,98;2044,81;1990,58
C3115;RALN;EQ;23925,9;18,18;2323,66;723,12;3454,26;3207,68
C3115;RALN;OE;19280,88;48,23;1698,79;369,75;1238,8;1494,91
C3115;RALN;DI;41779,26;0;6605,04;0;56665,19;2393,93
C3115;RALN;RU;23212,5;0;1973;0;16736;669,5
C5505;RALN;IR;21391,97;62,27;2000,29;239,78;888,8;1790,16
C5505;RALN;EQ;23672,24;96,16;2990,35;272,47;11571,43;1447,15
C5505;RALN;OE;19034,5;0;1750;79;574,5;1768
C5505;RALN;FP;41779;0;5994;0;37112;4779
C2986;RALN;IR;21621,88;16,59;2256,35;627,18;660,35;4715,65
C2986;RALN;OP;18376;0;1582;278;474;3438
C2986;RALN;EQ;24708;0;3028,5;0;12640,5;426,5
C2986;RALN;OE;19902,55;0;1647,27;186;552,27;3322,64
C2648;RALN;IR;21415,65;6,51;1894,6;152,25;937,87;1763,69
C2648;RALN;OP;18549;363;1695;0;487;1963
C2648;RALN;EQ;23601,36;40,42;2458,77;414,61;5652,41;2233,04
C2648;RALN;OE;19244,38;10,25;1701,27;15,83;561,93;1446,15
C2648;RALN;DI;41775,09;0;5203,87;0;23574,85;626,36
C6189;RALN;IR;21393;0;2277,5;742;3531;540
D8325;RALN;IR;21391,98;39,17;1869,19;30,26;1442,47;3945,46
D8325;RALN;OP;18224;0;1665;0;1203;2569
D8325;RALN;EQ;23252,18;7,63;2550,13;8,58;5139,75;3602,54
D8325;RALN;OE;19161,4;72;1776,86;0,83;1317,55;3467,3
D8325;RALN;DI;41779;0;6299,5;0;40508;626,5
C1983;RALN;IR;21393;0;2207;0;3525;347
C6246;RALN;IR;21392,35;63,08;1957,13;75,19;991,12;3324,44
C6246;RALN;EQ;23252,44;0;2599,31;46,04;7234,53;3014,02
C6246;RALN;OE;19126,24;52,94;1905,18;99,18;619,76;3735,53
C2699;RALN;IR;21393;0;1952;0;1277;3988,5
C2699;RALN;EQ;23212,15;0;2823,69;0;12968,77;1026,46
C2699;RALN;OE;19381;0;1794;0;624;1973
C7641;RALN;IR;21418,89;48,09;1878,74;128,19;1090,32;4085,84
C7641;RALN;EQ;23375,12;61,66;2987,12;17,95;14830,24;3206,73
C7641;RALN;OE;19166,2;196,9;1819,44;220,9;593,75;3867,04
C7641;RALN;FP;41779;0;6706;0;51174;18121
C5639;RALN;IR;21393;0;1791,33;37,33;1074,67;3335
C5639;RALN;EQ;23212,25;39,25;1934,25;0;10869;2109,75
C1276;RALN;IR;21348,66;5,24;1932,97;405,02;889,83;2258,1
C1276;RALN;EQ;23326,27;0;2667,56;337;7927,88;2023,86
C1276;RALN;OE;19129,09;0;1652;938,55;568,73;1086,18
C7340;RALN;IR;21378;0;1782,5;423,5;672,5;2928
C7340;RALN;OE;19034,57;0;1512;104,57;546;2262
C2398;RALN;IR;21784;160,89;1964,44;946,67;1784,89;5456,89
C2398;RALN;EQ;23212,17;146,61;3217,57;1108,17;10475,48;7804,7
UC10150;RALN;IR;21391,88;0;1916,69;288,31;743,91;3186,55
UC10150;RALN;EQ;23212,34;119,49;2713,53;234,64;5859,83;2291,49
UC10150;RALN;OE;19200;0;1727,38;827,83;580,52;2313,94
C8241;RALN;IR;21887;0;2091;19;2835;3734
C8241;RALN;OP;18597,83;0;1585,41;609;738,69;497,55
C8241;RALN;EQ;24303,81;0;2450,03;0;5333,81;10226,54
C8241;RALN;OE;20274,45;0;1722,8;0;902,49;2093,17
C8241;RALN;FP;41779;0;4184;0;30831;6903
C5100;RALN;IR;21585,31;75,58;1937,92;215,35;1643,28;5403,71
C5100;RALN;EQ;23292,35;0;2490;0;22,59;12,35
C5100;RALN;OE;19408,42;248,21;1733,05;1122,32;1032,63;9971,37
C6278;RALN;IR;21392;0;1348;274;1217;0
C6278;RALN;EQ;22863;0;2104;665;7551;0
C7871;RALN;IR;21433,63;0;1957,28;547,88;1927,59;3462,8
C7871;RALN;EQ;23647,04;0;2337,11;72,59;10493,98;1540,76
C7871;RALN;OE;19249,12;0;1762,6;330,7;587,16;3189,49
C6904;RALN;IR;21892,36;73,81;1964,28;1876,82;1380,35;9923,76
C6904;RALN;OP;19071,04;262,47;1653,63;1979,13;497,17;2676,57
C6904;RALN;EQ;24084,9;155,38;2400,26;1922,47;3559,97;6779,68
C6904;RALN;OE;19653,37;265,49;1762,17;2298,65;565,89;7229
C3624;RALN;IR;21678,22;29,06;1904,44;122,65;787,4;664,85
C3624;RALN;EQ;23558,03;0;2689,22;309,76;7950,71;2222,85
C3624;RALN;OE;19024,36;0;1723,91;442,09;572,18;461,73
C3624;RALN;FP;41779;0;5643;0;25307;627
C6078;RALN;IR;21386,56;0;1929,97;31,16;923;0
C6078;RALN;OP;18224;0;1664;82;778;0
C6078;RALN;EQ;23212;0;3061;0;5861;0
C6078;RALN;OE;19062,07;0;1640,55;125,93;940,21;0
C5956;RALN;IR;21700,37;0;1949,03;378,25;800,32;5136,22
C5956;RALN;EQ;23618,1;0;3004,97;614,65;12319,55;1538,9
C5956;RALN;OE;19232;0;1730;498,75;246,25;5979,5
C1757;RALN;IR;21790,58;200,2;1981,77;64,97;1644,18;4479,81
C1757;RALN;EQ;23510,61;300,26;2799,65;0;9961,04;2880,52
C1757;RALN;OE;19365,75;133,69;1983,56;341,06;598,31;4731,75
C4125;RALN;IR;21807,63;44,47;1956,75;252,22;1015,5;3351,2
C4125;RALN;OP;18455;0;1632;0;478;1654
C4125;RALN;EQ;23625,21;34,99;2419,6;358,23;5334,3;2492,84
C4125;RALN;OE;19352,83;0;1729,09;97,46;566,51;2496,71
C4125;RALN;FP;41779;0;7101;0;51699;15684
C272;RALN;IR;21548,98;27,64;1642,56;333,9;957,4;3147,52
C272;RALN;EQ;23395,89;0;2669,02;159,96;12393,57;3091,36
C272;RALN;OE;19249,89;5,98;1698,03;101,17;590,65;2278,75
C1650;RALN;IR;21393;0;2096;771;1934;4201
C1650;RALN;EQ;17409;0;1971,5;0;7634,25;1207,25
C1650;RALN;OE;19381;0;1747,5;946,5;574,5;2230
C1650;RALN;FP;41779;0;0;0;31342;626
C1644;RALN;IR;22962,38;0;1706,3;459,32;1251,83;3486,13
C1644;RALN;EQ;27596;0;3363,6;0;10266,8;1781,6
C1644;RALN;OE;20068,8;0;1774,87;409,98;601,98;1017,32
C5851;RALN;IR;21720;108,69;1742,57;562,63;201,43;2863,03
C5851;RALN;OP;18279,55;0;1425;732,55;82,91;0
C5851;RALN;EQ;23355,27;2477,09;2720;0;18214,18;3769,09
C5851;RALN;OE;19053;0;1706;117;1374;317
C1463;RALN;IR;21392,87;39,6;1962,58;177,9;1118,01;2174,85
C1463;RALN;EQ;23210,91;149,77;2823,93;0;10504,13;1443,44
C1463;RALN;OE;19044,21;0;1772,07;46,09;563,81;1220,79
C8256;RALN;IR;21757;0;1951,25;262;714,25;4020,5
C8256;RALN;EQ;23796,34;0;3148,69;0;13928,8;362,3
C8256;RALN;OE;19889;83;1835,67;62;601,33;5073,33
C6730;RALN;IR;21704,75;657,5;1949,25;111;974,75;1631,75
C6730;RALN;EQ;23693,37;629,1;2146,87;0;6835,91;838,89
C6730;RALN;OE;19852,5;767,5;1991;0;2140;976,5
C6730;RALN;FP;33423;0;4579;0;21017;501
C470;RALN;IR;21672,84;0;1889,28;1033,39;930,22;2630,69
C470;RALN;EQ;23589,79;0;3222,73;887,46;14161,38;7635,11
C470;RALN;OE;19294;0;1706;726;567;4166
C525;RALN;IR;21393;0;1818;524;657;1762
C525;RALN;EQ;23583,67;0;2880,33;26,67;9728,67;4065,33
C525;RALN;OE;19381;0;1759;142;575;2401
C525;RALN;FP;41779;0;5289;0;21015;4378
C4305;RALN;IR;21520,07;98,36;2003,36;475,07;936,86;3419,57
C4305;RALN;OP;18204;0;1665;0;426;1690
C4305;RALN;EQ;23439,14;0;2838;0;11080,86;227,71
C4305;RALN;OE;18986,25;0;1697,75;733,5;567,75;3206,5
C5259;RALN;IR;21441,5;234,17;1911,5;53,83;1082,33;3047,33
C5259;RALN;EQ;23252;370,67;2550,27;0;7606,53;4235,87
C5259;RALN;OE;19121;258,33;1736,67;204,33;589,67;2662,33
C1005;RALN;IR;21501,71;318,29;1962,29;0;1187,43;1202,86
C1005;RALN;EQ;23214,22;0;2113,77;0;883,87;370,55
C1005;RALN;OE;19215,85;140,38;1641,06;56,6;501,74;1430,94
C3977;RALN;IR;21440,35;35,67;1903,37;264,04;929,75;3094,37
C3977;RALN;EQ;23324,69;1,38;2194,24;163,26;779,01;3230,32
C3977;RALN;OE;19321,03;10,01;1691,76;610,89;572,26;2176,93
C3977;RALN;DI;41779,5;0;5929,5;0;52918,5;627
C7399;RALN;IR;21393;0;2403;885;5365;375
C352;RALN;IR;21400,72;353,31;1904,12;555,78;1253,01;3977,45
C352;RALN;EQ;23190,17;1029,96;2374,24;0;15943,23;5450,95
C352;RALN;FP;41779;0;5521;0;40196;627
C3459;RALN;IR;21723,59;0;1918,77;486,9;963,79;2377,81
C3459;RALN;EQ;23671,09;50,26;2916,72;104,54;10264,59;1281,99
C3459;RALN;OE;19045,4;0;1748,2;365,4;582,4;2357,2
C1684;RALN;IR;21393,14;85,29;1890;692,86;1810;5550
C1684;RALN;EQ;23212;0;2026;0;9204;3635
C2700;RALN;IR;21392,93;118,88;1988,65;0;0;1517,58
C2700;RALN;EQ;23212,62;45,23;3302,77;0;10992;3187,38
C2700;RALN;OE;19190,4;0;1725,6;0;0;878,4
C4821;RALN;IR;21594,19;19,08;1835,13;240,65;948,46;5047,53
C4821;RALN;OP;18347,52;0;1567,01;349,45;468,83;3511,96
C4821;RALN;EQ;24021,82;27,73;2563,12;118,05;5220,84;4591,62
C4821;RALN;OE;19220,39;51,72;1674,14;252,17;582,87;2935,44
C4821;RALN;DI;41779;0;5367;0;33536,5;626,5
C4821;RALN;FP;41779;0;7800;0;60230;627
C4821;RALN;RU;23212;0;2468;0;11570;348
C5536;RALN;IR;21392,9;0;1944,41;426;2057,79;1983,93
C5536;RALN;EQ;23212;0;2829;500;12381;1654
C5536;RALN;OE;19151,91;0;1757,86;431,45;568,85;3045,34
C4517;RALN;IR;21393;391;2042;0;1931;2890
C4517;RALN;EQ;23212;0;2855;0;9616;1856
C7173;RALN;IR;21604,64;33,83;1767,17;487,97;1223,64;2140,19
C7173;RALN;OP;18455;0;1632;888;475;3565
C7173;RALN;EQ;24015,09;0;3596,03;87,36;14343,61;2931,04
C7173;RALN;OE;19431,02;21,39;1782,4;461,37;587,71;3008,97
C2126;RALN;IR;21936,55;49,08;1977,62;621,56;1357,91;2593,02
C2126;RALN;EQ;25066,19;4,52;2483,87;347,74;7262,19;1901,03
C2126;RALN;OE;20382,94;0;1771,53;193,07;590,51;2473,43
C3803;RALN;IR;21717,09;0;1938,91;619,64;2181,82;1046,91
C3803;RALN;EQ;23212,25;70,5;3040,5;0;13702,75;1589,25
C3803;RALN;OE;19121;0;1722,67;0;1307,33;1622,67
C6130;RALN;IR;21391,97;46,7;1868,33;500,45;864,07;3265,66
C6130;RALN;EQ;23213,74;0;3089,25;122,25;8455,8;1549,6
C6130;RALN;OE;19062,07;35,5;1941,44;8,82;567,33;1928,55
C5018;RALN;IR;21393,5;0;2003;0;1347;302
C2482;RALN;IR;21393;0;2054,25;1693,12;3215,25;4247,62
C2482;RALN;EQ;23212;0;2972;1458;17952;645,33
C2482;RALN;OE;19294;0;1790;495;577;3748
C3284;RALN;IR;21393;0;1839,5;0;650;2221,5
C3284;RALN;EQ;23658;0;3023;0;12608;355
C7137;RALN;IR;21393;0;2039;0;5670;1183
C2910;RALN;IR;21288,68;0;1772,59;434,54;1018,44;2501,17
C2910;RALN;OP;18146;0;1448;755;517;1212,67
C2910;RALN;EQ;23161;0;2652,83;0;1458,83;9511,5
C2910;RALN;OE;19142,74;0;1548,21;582,11;596,42;1581,68
C8032;RALN;IR;21694,92;17,92;1867,56;224,9;2262,59;2190,65
C8032;RALN;EQ;24368,52;12,85;3152,14;186,3;8973,66;1361,78
C8032;RALN;OE;19322,65;0;1729,61;791,62;1319,37;2101,35
C8032;RALN;FP;41779;0;3576;0;40728;9639
C4738;RALN;IR;21184,12;38,25;2356,87;0;8875,87;3958,87
C4738;RALN;EQ;23486,82;51,53;3737,65;0;13828,24;1226,82
C1383;RALN;IR;21389,1;24,61;1904,19;196,8;1001,32;2549,46
C1383;RALN;EQ;23212;0;1944;0;730;2813
C1383;RALN;OE;19160,14;0;1676,19;71,96;568,96;2013,05
C1383;RALN;RU;23211,84;0;2688,54;0;10793,25;1574,18
C6646;RALN;IR;21408,65;29,61;1492,9;469,58;664,85;5086,3
C6646;RALN;OP;18487,33;0;1524;468,67;488;64,67
C6646;RALN;EQ;23616,46;33,74;2825,24;178,33;7234,84;5514,68
C2448;RALN;IR;21393,79;0;1917,36;8,02;1432,23;4823,7
C2448;RALN;EQ;23212,57;0;3275,43;6,86;21478,86;981,71
C2448;RALN;OE;19143,61;0;2056,1;4,72;1590,42;4664,07
C1746;RALN;IR;21802,6;102,09;1987,38;166,57;1342,33;1350,22
C1746;RALN;OP;18320,5;0;1553;0;468,5;0
C1746;RALN;EQ;22879,74;38,44;2946,63;7,53;8400,42;1155,7
C1746;RALN;OE;19392,51;51,26;1723,75;239,57;571,28;26,14
C1746;RALN;FP;42301;0;3523;0;29406;18264
C5211;RALN;IR;21393;46;2043;598,5;4169;4366
C5211;RALN;OP;18288;0;1605;0;482;280
C5211;RALN;EQ;23212,5;46;2201,5;0;5086,5;8206
C5211;RALN;OE;19099;216;1777;0;575;259
C5211;RALN;FP;33423;0;3814;0;401;5983
C7282;RALN;IR;21766,67;66,33;2021;0;5664,33;16340,33
C7282;RALN;OE;19400;150;2277;0;471,5;4675
C7282;RALN;FP;41779;0;6002;0;36230;13471
C3768;RALN;IR;21392,73;0;1927,64;97,45;711,27;2442,91
C3768;RALN;EQ;23214,79;522;2995,31;93,43;12438,22;2331,65
C3768;RALN;OE;19034,67;327;1807;761;577;2044,33
C4156;RALN;IR;21392,22;0;1964,37;301,13;1283,31;2898,37
C4156;RALN;EQ;23212,5;0;3489;0;17411,5;640,5
C4156;RALN;OE;19034,5;0;1790;51,5;568,5;2197
C5904;RALN;IR;21393,18;0;1977,18;0;1058,12;348,71
C5904;RALN;EQ;23212,33;139,67;2631;0;10412,67;353
C5904;RALN;OE;19294;0;1759;296;575;2514
C418;RALN;IR;21859,16;22,73;2092,95;654,68;2427,91;2568,25
C418;RALN;EQ;21209,49;0;2364,02;483,45;5224,98;2642,1
C3888;RALN;IR;21937,5;0;2153;482,5;5581,5;64,5
C3888;RALN;OE;19449;0;1586;0;384;0
C3702;RALN;IR;21393,09;347,74;2022,45;335,41;1890,29;1777,53
C3702;RALN;EQ;23212,25;148,75;2736,5;228,5;9352,25;788,25
C3702;RALN;OE;19034,67;0;1634,67;708,67;562;1928,67
C6885;RALN;IR;21380,74;21,78;1778,78;369,12;3093,76;6470,99
C6885;RALN;OP;18231,96;20,58;1560,09;1202,81;463,91;1348,71
C6885;RALN;EQ;23062,5;44,25;4573,5;0;11376;7711,5
C6885;RALN;OE;19080,15;0;1715,61;578,77;575,97;1325,24
C2152;RALN;IR;21631,75;0;1871,75;0;976,25;1714,5
C2152;RALN;EQ;23212,5;0;2176;0;13378;422
C2152;RALN;OE;19035;0;1768;0;632;3345
C2287;RALN;IR;21392,32;0;1899,37;0;938,26;1980,08
C2287;RALN;OE;19034,5;75,5;1723;0;562;1199
C4431;RALN;IR;21544,29;0;2316,86;0;8533,71;1075,71
C4431;RALN;OP;18490,4;0;1551,2;262;480,4;185,6
C4409;RALN;IR;21383,41;29,37;1930,26;437,85;1119,53;2554,61
C4409;RALN;OP;18221,61;0;1620,72;0;477,24;1085,54
C4409;RALN;EQ;23212,11;59,87;2385,39;204,34;4010,31;2803,33
C4409;RALN;OE;19032,13;64,51;1783,77;262,54;734,48;1685,34
C4409;RALN;DI;41779,27;0;6627,09;0;46377,45;693,82
C4409;RALN;FP;41779;0;8090;0;66254;1287
C5109;RALN;IR;21390,41;0;1821,81;171,43;1062,19;3250,48
C5109;RALN;EQ;23570,14;0;2223,43;0;17475,86;9891,86
C5109;RALN;OE;19207,67;209,33;1771,33;0;590,33;3102,33
C8294;RALN;IR;21640,25;0;1932,64;264,57;973,03;2044,41
C8294;RALN;EQ;24525,03;0;3451,72;0;20512,04;4328,79
C8294;RALN;OE;19287,35;0;1719,18;0;560,82;1725,53
C8294;RALN;FP;33423;0;4691;0;17265;13370
C8294;RALN;RU;23212;0;3170;0;15956;2260
C7537;RALN;IR;21466,65;0;1905,52;210,05;949,17;2627,47
C7537;RALN;EQ;23557,13;33,37;2845,29;159,7;11543,73;1768,77
C7537;RALN;OE;19297,38;0;1728,46;178;578,62;1423,23
C5644;RALN;IR;21392,86;0;1981,14;303,71;1048,29;3284
C5644;RALN;EQ;23212,24;0;1801,29;14,47;13631,41;2522,24
C5644;RALN;OE;19034,57;0;1868,86;149,43;744;2587,14
C5349;RALN;IR;21696,51;369,94;2008,63;493,37;1661,14;657,09
C5349;RALN;EQ;24097,95;163,86;2695,96;0;5270,15;1842,49
C5349;RALN;OE;19269,49;561,21;1730,51;0;564,56;385,12
C5349;RALN;FP;41779;0;5243;0;20515;1729
C5349;RALN;RU;11751;0;1371;0;4633;0
C2857;RALN;IR;21383,89;59,48;1919,85;325,91;1769,22;4130,89
C2857;RALN;EQ;23212,01;0;2516,97;258,2;7336,4;2643,32
C2857;RALN;OE;19088,61;368,99;1893,67;0;602,53;1425,95
C3895;RALN;IR;21534,93;0;1780,48;211,27;1003,03;2024,85
C3895;RALN;OP;18214,44;0;1519,61;87,92;487,35;1971,11
C3895;RALN;EQ;23602,67;0;1936,25;0;6659,71;1286,67
C3895;RALN;OE;19093,06;0;1591,67;0;576,39;65,28
C3895;RALN;FP;41779;0;3506;0;12026;11534
C2082;RALN;IR;21396;0;2033,54;472,94;1505,41;4494,39
C2082;RALN;EQ;23217,74;0;2684,95;0;7708,16;391,39
C2082;RALN;OE;19035;0;1618;284,67;567;1927,33
C4505;RALN;IR;21557;0;1782;0;668;2598
C4505;RALN;EQ;23578;0;1934;0;14754;2125
C4505;RALN;OE;19708;0;1586;0;586;948
C3892;RALN;IR;21429,39;0;1837,76;557,42;847,03;1541,36
C3892;RALN;OE;19029,34;0;1857,38;359,17;566,4;3156,1
C4808;RALN;IR;21858,02;0;2177,48;411,63;3463,09;366
C4808;RALN;OP;18549;0;1664;0;486;679
C4808;RALN;OE;19856;0;1901;482;622;1466
C6862;RALN;IR;21290,45;0;1871,81;412,99;851,49;2416,04
C6862;RALN;EQ;23214,23;40,7;2229,46;0;10806,49;1350,81
C6862;RALN;OE;19294;0;1705;1160;552;2673
C6862;RALN;FP;41779;0;5234;0;26787;627
C2041;RALN;IR;21445,92;0;1835,17;736,08;1026,66;6010,89
C2041;RALN;EQ;23216,42;0;2291,42;485,76;5363,81;3150
C2041;RALN;OE;19012,59;216,71;1771,76;240,35;560,82;2901,88
C4219;RALN;IR;21392,8;0;1879,2;424,6;1710,6;7535,8
C4219;RALN;EQ;23217,7;0;2011,1;25,21;13797,75;4422,81
C1353;RALN;IR;21393,39;63,63;1942,95;457,6;1631,85;2422,46
C1353;RALN;OP;18224;0;1605;0;1153;1226
C1353;RALN;EQ;23212,4;69,6;2168,6;0;15953,6;824,2
C1353;RALN;OE;19158,52;78;1760,09;172,96;1326,52;1190,09
C2054;RALN;IR;21393;0;1818,33;0;656,33;321
C2054;RALN;EQ;23767;0;3192,5;0;13173,5;1940
C2054;RALN;OE;19449,5;8,5;1759,75;68,25;575,25;555
C4800;RALN;IR;21393;0;1965,5;359;838;829,5
C4800;RALN;EQ;23212,5;85;2819;0;7798;650,5
C4800;RALN;OE;19035;0;1759;741;575;1082
C1747;RALN;IR;21704,17;169,79;1938,19;221,53;984,72;8376,04
C1747;RALN;EQ;24322;92;3512;0;20658;14103
C1747;RALN;OE;19289,98;0;1705,84;48,21;572,04;5559,08
C294;RALN;IR;21352,2;106,05;2184,98;274,54;3112,68;7592,88
C294;RALN;EQ;23530,57;0;3447,14;0;13105,71;20176,86
C294;RALN;OE;19242;175,8;1861,2;0;580,8;2433,6
C294;RALN;FP;41779;0;5299;0;43371;20633
C2627;RALN;IR;21393;0;1911;772,75;653,25;1184,5
C2627;RALN;EQ;23212;270;2280;1520;756;10019
C2627;RALN;OE;19180,8;23,13;1796,07;330,76;603,71;1938,11
C3854;RALN;IR;21527,54;0;1833,37;518,26;978,7;1747,53
C3854;RALN;EQ;23212,29;151,71;2274,43;120,64;11768,14;2032,5
C3854;RALN;OE;19174,8;0;1685,51;217,06;579,09;2332,2
C3854;RALN;FP;33423;0;2785;0;29437;543
C5932;RALN;IR;21396,54;0;1956,54;862,72;662,22;1729,38
C5932;RALN;EQ;23212,5;0;3074,25;5034,75;10016,25;434,25
C5932;RALN;OE;19035;0;1706;1669;572;2842
C935;RALN;IR;21793,38;31,85;2293,69;0;5826,47;2146,02
C935;RALN;OP;18268,56;0;1564,69;0;473,45;1226,29
C935;RALN;EQ;23212;0;3753;0;15385;1537
C935;RALN;OE;19273,58;0;1698,63;0;562,54;1360,44
C8209;RALN;IR;21393,91;0;1829,23;803,17;638;320,1
C819;RALN;IR;21391,57;6,49;1880,36;149,23;1347,99;2879,48
C819;RALN;EQ;23499,98;64,64;2379,66;162,31;3603,25;4076,68
C819;RALN;OE;19071,21;20,09;1716,65;188,75;574,2;1824,37
C819;RALN;DI;41779;0;6238;0;37212;627
C819;RALN;FP;41779;0;7798;0;55045;19171
C2748;RALN;IR;21491,4;177,63;1782,54;397,25;1015,06;4148,31
C2748;RALN;OP;18403,65;81,06;1589,41;167,59;466,91;2693,02
C2748;RALN;EQ;23629,5;0;2914,5;0;31593;10672
C2748;RALN;OE;19690,62;31,28;1595,21;101,9;572,85;2936,26
C2748;RALN;FP;41779;0;6436;0;15001;20266
C4428;RALN;IR;21393,09;0;2032;0;3241,09;5202,91
C4428;RALN;FP;33423;0;3635;0;9700;501
C2262;RALN;IR;21392,98;79,76;1950,69;843,51;860,65;2065,88
C2262;RALN;EQ;23596,25;64,73;2649,5;668,63;6781,56;1957
C2262;RALN;OE;19220;0;1766;544;614,86;1401,43
C711;RALN;IR;21621,6;0;1909,14;0;1532,34;4014,75
C711;RALN;EQ;23212,33;0;2950;0;14136,33;2445,67
C6952;RALN;IR;21640,73;71,67;2104,97;725,31;2022,8;1480,98
C6952;RALN;EQ;23212,14;0;2812,97;0;10965,52;488,28
C6952;RALN;OE;19255,11;67,89;1693,74;644,53;878,84;123,79
C1418;RALN;IR;21605,79;68,79;2408,36;24,43;659,36;4498,29
C1418;RALN;EQ;23421,43;0;2892,86;0;15467,14;1290,86
C1418;RALN;OE;19256,45;46,44;1561,77;23,35;585,25;3493,01
C1418;RALN;FP;41779;0;5765;0;8055;21052
C846;RALN;IR;21096,42;0;1712,73;1442,82;1593,43;3320,94
C846;RALN;OP;18621,24;0;1573,81;319,59;476,08;1573,2
C846;RALN;EQ;23119,5;0;2297;2691;8324,5;30095,5
C846;RALN;OE;19412,02;0;1555,78;2211,16;531,99;7729,15
