ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C1450;PRTN;CC;0CE000;C03;0;1
IP10992;PRTN;CC;0CE000;C01;0;1
N10874;PRTN;CC;0CE000;C03;1;0
IP10996;PRTN;CB;0BE000;C28;0;1
IP10986;PRTN;CB;0BE000;C28;0;2
IP11013;PRTN;CB;0BE000;C03;0;1
C4734;PRTN;CB;0BE000;C03;1;0
C3505;PRTN;CB;0BE000;C03;1;0
IP11021;PRTN;CB;0BE000;C28;0;1
IP11012;PRTN;CB;0BE000;C28;0;2
C4293;PRTN;CB;0BE000;C99;0;1
IP10985;PRTN;CB;0BE000;C99;0;3
N10887;PRTN;CB;0BE000;C03;0;1
C2088;PRTN;CB;0BE000;C28;2;0
IP10985;PRTN;CB;0BE000;C18;0;2
IP10999;PRTN;CB;0BE000;C28;0;2
IP11051;PRTN;CB;0BE000;C03;0;1
N10882;PRTN;CB;0BE000;C03;1;0
IP11012;PRTN;CB;0BE000;C18;1;1
C4814;PRTN;CB;0BE000;C01;1;0
IP10985;PRTN;CB;0BE000;C19;0;1
N10883;PRTN;CB;0BE000;C03;1;0
C4814;PRTN;CB;0BE000;C03;1;0
IP11000;PRTN;CB;0BE000;C03;0;1
IP10985;PRTN;CB;0BE000;C01;1;2
C6866;PRTN;CB;0BE000;C99;1;0
C12487;PRTN;CB;0BE000;C03;1;0
IP10986;PRTN;CB;0BE000;C03;0;1
IP10986;PRTN;CB;0BE000;C18;0;1
IP11015;PRTN;CB;0BE000;C99;0;1
C12496;PRTN;CB;0BE000;C28;1;0
IP11007;PRTN;CB;0BE000;C18;1;1
IP11017;PRTN;CB;0BE000;C28;0;1
IP11013;PRTN;CB;0BE000;C28;0;1
IP11007;PRTN;CB;0BE000;C03;2;5
IP10999;PRTN;CB;0BE000;C99;0;5
IP11029;PRTN;CB;0BE000;C28;1;0
IP11029;PRTN;CB;0BE000;C03;1;0
IP11007;PRTN;CB;0BE000;C28;1;3
IP11021;PRTN;CB;0BE000;C03;1;2
IP11012;PRTN;CB;0BE000;C03;1;0
IP11044;PRTN;CB;0BE000;C28;1;0
IP11012;PRTN;CB;0BE000;C99;0;1
