ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C6903;RALN;ND;IR;0,01;0;0;0;0;0;0;0
C3735;REVA;NF;CC;0;0;0;0;2;1;0;0
C3735;REVA;NF;CB;0;0;0;0;1;0;0;0
C7737;RALN;ND;IR;0;0;0;1,08;0;0;0;0
C2869;RALN;ND;OE;0;0;0;0;0;0;0,07;0
C6238;RALN;ND;PC;0;0,5;0;0;0;0;0;0
C6238;RALN;ND;EQ;0;1;0;0;0;0;0;0
C3406;RALN;ND;EQ;0;3;0;0;0;0;0;0
M8668;MNST;MM;FU;32,43;22,93;0;0;0;0;0;0
M8668;MNST;MM;AT;1,01;1,9;0;0;0;0;0;0
C5436;RALN;ND;IR;0,43;2,21;0;0;0;0;0;0
C6563;RALN;ND;IR;0,23;0;0;0;0;0;0;0
C6563;RALN;ND;EQ;0;1;0;0;0;0;0;0
C6248;PRTN;NF;PC;0;0;0;0;0;0;3;2
C6248;PRTN;NF;CB;0;0,09;0;0;0;0;0;0
C6248;PRTN;NF;CC;0;0,5;0;0;0;0;0;0
C6248;PRTN;NF;CA;0;0,54;0;0;0;0;0;0
CV14416;AFAM;AT;PR;0;0,27;0;0;0;0;0;0
CV14416;AFAM;AT;PA;0,18;0;0;0;0;0;0;0
C6928;PRBZ;NF;CA;1;0,33;0;0;0;0;0;0
C6928;PRBZ;NF;PC;0;0;0;0;0;0;0,25;0,43
C1295;RALN;ND;IR;0;0,29;0;0;0;0;0;0
C3254;RALN;ND;OE;0,25;0;0;0;0;0;0;0
C3254;RALN;ND;OP;0;0,65;0;0;0;0;0;0
C7254;RALN;ND;IR;0,75;0,5;0;0;0;0;0;0
C3530;RALN;ND;IR;0,75;0,5;0;0;0;0;0;0
CS12816;RALN;ND;IR;0;0;0;0;0;1;0;0
Q9180;UNIV;ND;PC;1;1,25;0;0;0;0;0;0
Q9180;UNIV;ND;CD;0;1,03;0;0;0;0;0;0
Q9180;UNIV;ND;RC;52,8;45,09;0;0;0;0;0;0
C1129;PRTN;NF;PC;0;0;0;0;0;0;1,13;0,58
C881;PRTN;NF;CA;0;0,37;0;0;0;0;0;0
LS12143;LS13;NF;LI;4,27;13,85;0;0;0,76;0,4;0;0
Q9131;UNIV;ND;CD;24,16;41,73;0;0;0;0;0;0
Q9131;UNIV;ND;PC;18;10;0;0;0;0;0;0
Q9131;UNIV;ND;RC;508,91;485,72;0;0;0;0;0;0
Q9131;UNIV;ND;CC;22,14;34,17;0;0;0;0;0;0
Q9131;UNIV;ND;AL;4,99;10,01;0;0;0;0;0;0
C6962;REFR;SC;CB;0;0;0;0;0;1;1,14;0
CS10380;RALN;ND;IR;0;0;0;0;0,88;2,5;0;0
C6502;RALN;ND;EQ;0,35;0;0;0;0;0;0;0
C7839;RALN;ND;OP;6,03;0;0;0;0;0;0;0
C230;RALN;ND;EQ;0;1;0;0;0;0;0;0
C1510;RALN;ND;EQ;0;1,74;0;0;0;0;0;0
C2868;RALN;ND;IR;1;2;0;0;0;0;0;0
C2077;RALN;ND;OE;0,67;0,67;0;0;0;0;0;0
C2077;RALN;ND;IR;3,9;8,41;0;0;0;0;0;0
C553;RALN;ND;EQ;0;1;0;0;0;0;0;0
C4258;RALN;ND;IR;0;0,17;0;0;0;0;0;0
C4945;RALN;ND;EQ;0;0;0;0;0;0,66;0;0
C4945;RALN;ND;OE;0;0;0;0;0;0,64;0;0
C653;RALN;ND;IR;1;0;0;0;0;0;0;0
C2504;RALN;ND;EQ;0,45;0;0;0;0;0;0;0
C2504;RALN;ND;IR;0,39;0,34;0;0;0;0;0;0
C3015;RALN;ND;OP;0;0;0;0;0,14;0;0;0
C3015;RALN;ND;IR;0,34;0;0;0;0;0;0;0
CS12838;RALN;ND;EQ;1;0;0;0;0;0;0;0
C4222;RALN;ND;IR;0;0,62;0;0;0;0;0;0
C3817;RALN;ND;EQ;0,5;0,93;0;0;0;0;0;0
C2307;PRBZ;NF;CC;0;0,4;0;0;0;0;0;0
C2307;PRBZ;NF;CB;0,6;0;0;0;0;0;0;0
C2307;PRBZ;NF;CD;0;0,35;0;0;0;0;0;0
C2307;PRBZ;NF;CA;0;0;0;0;0;0;1,63;0,27
C6589;RALN;ND;OP;0;0;0;0;0;0;0;2,25
C6589;RALN;ND;IR;0,61;0;0;0;0;0;0;0
C6589;RALN;ND;EQ;0;0,6;0;0;0;0;0;0
Q9170;UNIV;ND;RC;22,97;18,67;0;0;0;0;0;0
Q9170;UNIV;ND;CE;0;2;0;0;0;0;0;0
Q9170;UNIV;ND;CD;0,27;1,27;0;0;0;0;0;0
Q9170;UNIV;ND;PC;16,65;6,36;0;0;0;0;0;0
C542;RALN;ND;IR;1;0;0;0;0;0;0;0
C542;RALN;ND;OP;0;0;0;0;2;1;0;0
C7316;RALN;ND;EQ;0;0;0;0;0,16;0;0;0
P9042;RALN;ND;IR;0;0,08;0;0;0;0;0;0
AS12805;LS13;NF;LI;5;6;0;0;0;0;3;0
C4764;PRBZ;NF;CC;0,25;0,42;0;0;0;0;0;0
C3526;RALN;ND;OE;0;0;0;0;0,8;0;0;0
C3526;RALN;ND;EQ;1,75;0;0;0;0;0;0;0
P10790;RALN;ND;EQ;0,5;0,5;0;0;0;0;0;0
P10790;RALN;ND;IR;0,83;2,49;0;0;0;0;0;0
N10878;PRTN;NF;CD;0,41;1,32;0;0;0;0;0;0
N10878;PRTN;NF;CC;0,61;0;0;0;0;0;0;0
D10956;EN60;ND;LI;4;3;0;0;0;0;0;0
C8069;RALN;ND;EQ;0;1;0;0;0;0;0;0
C8069;RALN;ND;IR;0;0,5;0;0;0;0;0;0
C7159;RALN;ND;IR;2;0;0;0;0;0;0;0
C12342;PRTN;NF;CC;0,92;0,27;0;0;0;0;0;0
C12342;PRTN;NF;PC;0;0;0;0;0;0;6,81;0,83
C4937;RALN;ND;EQ;0;0,75;0;0;0;0;0;0
C4937;RALN;ND;PC;0,75;0;0;0;0;0;0;0
C6293;RALN;ND;EQ;0,02;0;0;0;0;0;0;0
C6293;RALN;ND;OP;0;0;0;0;0;0;1,12;0,56
C6904;RALN;ND;EQ;6;1;0;0;0;0;0;0
C6904;RALN;ND;IR;0,54;0,69;0;0;0;0;0;0
C6261;REFR;SC;CC;0;0;0;0;2,92;2,67;0;0
C6261;REFR;SC;CD;0;2;0;0;1;3;0;0
Q9185;UNIV;ND;RC;9,01;9,26;0;0;0;0;0;0
C6405;RALN;ND;OE;0;0;0;0;0;0,27;0;0
C6405;RALN;ND;IR;0;0;0;0;0,87;0;0;0
C6405;RALN;ND;EQ;0,67;0;0;0;0;0;0;0
C7349;RALN;ND;EQ;1,01;14,4;0;0;0;0;0;0
C7349;RALN;ND;IR;5,56;9,5;0;0;0;0;0;0
C5907;RALN;ND;OE;0;0;0;0;0;0;0,47;0
C5907;RALN;ND;IR;0;0,44;0;0;0;0;0;0
C350;RALN;ND;IR;0;3,02;0;0;0;0;0;0
C4690;RALN;ND;IR;0;0,25;0;0;0;0;0;0
C7310;RALN;ND;IR;0;0;0;0;0,33;0;0;0
IP10828;SSNA;ND;PF;0,58;0;0;0;0;0;0;0
IP10828;SSNA;ND;OP;0,07;0,45;0;0;0;0,47;0;0
IP10828;SSNA;ND;PT;0;0,11;0;0;0;0;0;0
C7007;RALN;ND;EQ;0,5;1;0;0;0;0;0;0
C7007;RALN;ND;OE;0,93;0;0;0;0;0;0;0
C7007;RALN;ND;IR;0,5;0,97;0;0;0;0;0;0
C1598;RALN;ND;EQ;1,51;0;0;0;0;0;0;0
C1598;RALN;ND;IR;0,5;0;0;0;0;2;0;0
C6911;RALN;ND;OE;0;0;0;0;0;0;0,39;0,62
C6911;RALN;ND;OP;0;0;0;0;0;0;0,19;0
C5842;RALN;ND;IR;0,08;0,58;0;0;0;0;0;0
C3399;RALN;ND;EQ;0,92;0,21;0;0;0;0;0;0
C3399;RALN;ND;IR;0,33;0;0;0;0;0;0;0
C5342;RALN;ND;IR;0;0,75;0;0;0;0;0;0
C5342;RALN;ND;EQ;1;0;0;0;0;0;0;0
C5342;RALN;ND;OE;1,04;0,47;0;0;1;0;0;0
C7969;RALN;ND;EQ;1,39;0;0;0;0;0;0;0
C7969;RALN;ND;IR;0,19;0,87;0;0;0;0;0;0
C6892;RALN;ND;EQ;0,5;0;0;0;0;0;0;0
C6892;RALN;ND;OP;0;0;0;0;0;0;1,33;0,5
C6892;RALN;ND;IR;0;0,96;0;0;0;0;0;0
C5173;RALN;ND;IR;0;0;0;0;0,25;0;0;0
C5173;RALN;ND;EQ;0;0;0;0;0;0,69;0;0
C3320;RALN;ND;OE;0;0;0;0;0;0;1,75;0
C6099;RALN;ND;IR;0;0,17;0;0;0;0;0;0
C2010;REVA;NF;CB;0;0;0;0;0,08;0;0;0
C2010;REVA;NF;CD;0,81;0;0;0;0;0;0;0
C550;RALN;ND;IR;0,6;0;0;0;1;0;0;0
C1998;RALN;ND;IR;0;1;0;0;0;0;0;0
C6600;RALN;ND;OP;0;0;0;0;0;0;1;0
P9066;RALN;ND;EQ;0,25;0;0;0;0;0;0;0
U10769;SSNA;ND;MV;2,84;2,12;0;0;0;0;0;0
U10769;SSNA;ND;CH;0;1,67;0;0;0;0;0;0
U10769;SSNA;ND;FI;1;1;0;0;0;0;0;0
U10769;SSNA;ND;FM;0,58;1,16;0;0;0;0;0;0
U10769;SSNA;ND;DA;1,18;3,37;0;0;0;0;0;0
U10769;SSNA;ND;BI;0;5,37;0;0;0;0;0;0
U10769;SSNA;ND;MD;14,86;21,27;0;0;0;0;0;0
U10769;SSNA;ND;PL;1;9,14;0;0;0;0;0;0
U10769;SSNA;ND;OP;10,56;26,98;0;0;0;0;0;0
U10769;SSNA;ND;AT;5,17;0,58;0;0;0;0;0;0
U10769;SSNA;ND;PT;0;0,13;0;0;0;0;0;0
U10769;SSNA;ND;DP;1;2;0;0;0;0;0;0
U10769;SSNA;ND;PF;48,76;125,14;0;0;0;0;0;0
C674;RALN;ND;EQ;0;1;0;0;0;0;0;0
C427;RALN;ND;EQ;0,76;0;0;0;0;0;0;0
C427;RALN;ND;IR;0,51;0;0;0;0;0;0;0
C6471;RALN;ND;EQ;0;0,22;0;0;0;0;0;0
C4770;RALN;ND;OP;0;1;0;0;0;0;0;0
C4770;RALN;ND;IR;0;0;0;0;0;0;0;2
C4770;RALN;ND;OE;0;0;0;0;0;0;1;3
C2580;RALN;ND;OP;0;0;0;0;2;0;0;0
C9860;RALN;ND;IR;1;0;0;0;0;0;0;0
C9860;RALN;ND;EQ;1;0;0;0;0;0;0;0
C4138;RALN;ND;PC;0;1,5;0;0;0;0;0;0
C4138;RALN;ND;EQ;0,29;0;0;0;0;0;0;0
C4138;RALN;ND;IR;1,13;1,94;0;0;0;0;0;0
C4670;RALN;ND;OE;0,05;0;0;0;0;0;0;0
OL13593;EPNE;ME;FU;1;0;0;0;0;0;0;0
C6449;RALN;ND;EQ;0;0,14;0;0;0;0;0;0
C4707;RALN;ND;EQ;0,24;0;0;0;0;0;0;0
C4707;RALN;ND;OE;0;0;0;0;0;0;0,33;0,17
C3980;RALN;ND;EQ;0,58;14;0;0;0;0;0;0
C4057;REFR;SC;CB;0;0;0;0;0,7;0;0;0
C4057;REFR;SC;CC;0,75;0,82;0;0;0;1;0;0
C4057;REFR;SC;XA;0,66;0;0;0;0;0;0;0
P9093;RALN;ND;EQ;0,74;0,21;0;0;0;0;0;0
C4069;RALN;ND;IR;0,63;0;0;0;0;0,38;0;0
C4069;RALN;ND;EQ;0;0;0;0;0;0,42;0;0
C1952;RALN;ND;OP;0;0;0;0;0;0;1,32;0,66
C1952;RALN;ND;IR;0;2;0;0;0;0;0,66;1,98
C5967;REFR;SC;CC;0;0;0;0;0,33;0;0;0
C5967;REFR;SC;CD;0,33;0;0;0;0;0;0;0
UC10776;RALN;ND;IR;0;0,68;0;0;0;0;0;0
IP10969;PRTN;NF;CA;0;4,04;0;0;0;0;0;0
IP10969;PRTN;NF;CC;3,21;21,48;0;0;0;0;0;0
IP10969;PRTN;NF;CB;2,72;5,75;0;0;0;0;0;0
N8908;RALN;ND;PC;1;0;0;0;0;0;0;0
OL13547;EPNE;ME;PC;0;0;0;0;0;1;0;0
C4165;RALN;ND;IR;1,31;1,81;0;0;0;0;0;0
C6809;RALN;ND;OP;0;0;0;0;0,2;0;0;0
C6367;RALN;ND;EQ;0;1;0;0;0;0;0;0
C6367;RALN;ND;IR;0;0,26;0;0;0;0;0;0
C8029;PRBZ;NF;CC;0,99;0;0;0;0;0;0;0
D8309;EN60;ND;LI;0;1,1;0;0;0;2;0;0
IP10990;PRTN;NF;CA;1;5,23;0;0;0;0;0,82;14,47
IP10990;PRTN;NF;CC;0,86;3,33;0;0;0;0;0;0
IP10990;PRTN;NF;CB;4,81;17,22;0;0;0;0;0;0
FL11988;LS13;NF;LI;54,39;39,51;0;0;0;0;0;0
IP10706;RALN;ND;IR;0;0;0;0;0;2;0;0
C7192;RALN;ND;EQ;0,5;0;0;0;0;0;0;0
OL13984;EPNE;ME;AT;0;0;0;0;0;0,31;0;0
OL13294;EPNE;ME;AT;1;1;0;0;0;0;0;0
UC10802;RALN;ND;EQ;0,22;0,38;0;0;0;0;0;0
UC10802;RALN;ND;IR;0,17;0;0;0;0;0;0;0
AA8542;ERIC;ND;8L;0;0;0;0;1,36;0;0;0
AA8542;ERIC;ND;TC;0,72;0,51;0;0;0;0;0;0
AA8542;ERIC;ND;RI;2,43;3,5;0;0;0;0;0;0
AA8542;ERIC;ND;7L;0;0;0;0;3,88;0;0;0
AA8542;ERIC;ND;RC;31,7;32,32;0;0;0;0;0;0
AA8542;ERIC;ND;6L;0,05;0;0;0;0;0;0;0
AA8542;ERIC;ND;PC;0;0;0;0;0,97;0;0;0
UC10894;RALN;ND;EQ;0;0;0;0;0;1;0;0
P9082;RALN;ND;IR;0,61;0,6;0;0;0;0;0;0
P9082;RALN;ND;OE;0,5;0;0;0;0;0;0;0
P9082;RALN;ND;EQ;1,86;0;0;0;0;0;0;0
C4484;RALN;ND;EQ;0,5;0,5;0;0;0;0;0;0
C1989;PRBZ;NF;CD;2;0;0;0;0;0;0;0
C1989;PRBZ;NF;CA;0;0,68;0;0;0;0;0;0
C1989;PRBZ;NF;CC;1;2,86;0;0;0;0;0;0
C1989;PRBZ;NF;CB;3,98;1,58;0;0;0;0;0;0
C5179;RALN;ND;IR;0,1;0,22;0;0;0;0;1;1
C5179;RALN;ND;EQ;0,08;0;0;0;0;0;0;0
UC10148;RALN;ND;IR;1,75;1,82;0;0;0;0;0;0
C1815;RALN;ND;OE;0;0;0;0;0;0;0,56;0
C2127;RALN;ND;EQ;0;0;0;0;1;0;0;0
C2127;RALN;ND;IR;0,13;0;0;0;0;0;0;0
C1759;RALN;ND;IR;7,13;0;0;0;0;0;0;0
C1759;RALN;ND;OP;0,19;0;0;0;0;0;0;0
C3031;RALN;ND;EQ;2;0;0;0;0;0;0;0
C6581;RALN;ND;IR;0;2;0;0;0;0;0;0
C6275;REVA;NF;CB;0;0;0;0;0;1;0;0
C3057;RALN;ND;PC;0,17;0;0;0;0;0;0;0
C6480;RALN;ND;IR;0,78;0;0;0;0;0;0;0
C3378;RALN;ND;EQ;0;0,92;0;0;0;0,25;0;0
C7876;RALN;ND;IR;0;1;0;0;0;0;0;0
C7876;RALN;ND;EQ;0;1;0;0;0;0;0;0
C2351;RALN;ND;IR;0;0;0;0;0;0;0;0,55
C2351;RALN;ND;EQ;0,92;0;0;0;0;0;0;0
CS12299;RALN;ND;EQ;1;0;0;0;0;0;0;0
C3617;RALN;ND;IR;0,5;0;0;0;0;0;0;0
C3617;RALN;ND;EQ;0,5;0;0;0;0;0;0;0
J8634;SSNA;ND;PT;0;0,25;0;0;0;0;0;0
J8634;SSNA;ND;MD;0,22;1,16;0;0;0;0;0;0
J8634;SSNA;ND;PF;1,3;1,52;0;0;0;0;0;0
J8634;SSNA;ND;DP;0,59;0;0;0;0;0;0;0
D8328;REVA;NF;CC;1,98;0;0;0;0;0;0;0
C6161;RALN;ND;IR;1;0;0;0;1,41;0,37;0;0
C4352;RALN;ND;OP;0;1;0;0;0;0;0;0
C4352;RALN;ND;IR;1,5;0;0;0;0;0;0;0
C4352;RALN;ND;EQ;2;4;0;0;0;0;0;0
C7892;RALN;ND;OE;0;0;0;0;0;0;3,75;0,69
C7892;RALN;ND;EQ;0,04;4,37;0;4,43;7,89;42,04;0;0
C7892;RALN;ND;IR;0;68,19;19,94;8,39;3,76;10,28;0;0
P9094;RALN;ND;OE;1;0;0;0;0;0;0;0
P9094;RALN;ND;EQ;1,24;1,73;0;0;0;0;0;0
P9094;RALN;ND;IR;0,41;0,25;0;0;0;0;0;0
C4279;RALN;ND;OP;0;0;0;0;0;0;1;0
C4930;RALN;ND;IR;1,75;0,42;0;0;0;0;0;0
C3535;RALN;ND;EQ;0;0,09;0;0;0;0;0;0
C3535;RALN;ND;IR;1;0;0;0;0;0;0;0
C4407;RALN;ND;IR;0;0;0;0;0;0,55;0;0
C4407;RALN;ND;OP;0;0;0;0;0;0;0,08;0
C4733;RALN;ND;IR;0,83;0;0;0;0;0;0;0
C5125;RALN;ND;EQ;0;0,33;0;0;0;0;0;0
CS9919;RALN;ND;EQ;1;7,36;0;0;0;0;0;0
CS9919;RALN;ND;IR;0;0;0;0;0;0,92;0;0
N8924;RALN;ND;PC;25,1;14,34;0;0;0;0;0;0
C6567;RALN;ND;IR;0;0,25;0;0;0;0;0;0
C2236;RALN;ND;OE;1;0;0;0;0;0;0;0
Q9148;UNIV;ND;CC;11,3;20,84;0;0;3;11;0;0
Q9148;UNIV;ND;CB;1;1,88;0;0;0;0;0;0
Q9148;UNIV;ND;CD;0,33;4,22;0;0;0;3;0;0
Q9148;UNIV;ND;RC;117,38;134,15;0;0;0;0;0;0
IP10696;RALN;ND;IR;0;0;0;0;0;4;0;0
IP10696;RALN;ND;OP;0;0;0;0;0;3;0;0
IP10696;RALN;ND;OE;0;0;0;0;1;23;0;0
IP10696;RALN;ND;EQ;0;0;0;0;1;3;0;0
C6181;RALN;ND;EQ;0,29;0;0;0;0;0;0;0
C859;RALN;ND;IR;0,34;8,97;0;0;3,5;8,78;0;0
C859;RALN;ND;EQ;0,28;0,6;0;0;0;1,01;0;0
C859;RALN;ND;OE;0;0;0;0;0,95;0,95;0;0
C12473;PRTN;NF;CA;0;1,61;0;0;0;0;0;0
OL14120;EPNE;ME;AT;0;1;0;0;0;0;0;0
C7395;PRBZ;NF;CC;0,54;1,57;0;0;0;0;0;0
C7395;PRBZ;NF;CD;0,1;0,04;0;0;0;0;0;0
C7395;PRBZ;NF;CA;0;0,15;0;0;0;0;1;0
C3346;RALN;ND;EQ;1;0;0;0;0;0;0;0
C831;RALN;ND;OE;0;0;0;0;0;0;0;0,12
C831;RALN;ND;IR;0;0,5;0;0;0;0;0;0
OL13144;EPNE;ME;AT;0;0;0;0;1;0;0;0
C3910;RALN;ND;OE;0,83;0;0;0;0;0,68;0;0
C3910;RALN;ND;EQ;1,01;2,31;0,67;0;0;0;0;0
C3910;RALN;ND;IR;1;0,97;0;0;0;0;0;0
ON15095;EPNE;ME;AT;0;0;0;0;1;0;0;0
Q10602;UNIV;ND;RC;30,46;32,84;0;0;0;0;0;0
Q10602;UNIV;ND;CC;0,17;0,92;0;0;0;0;0;0
Q10602;UNIV;ND;AL;3,76;18,81;0;0;0;0;0;0
Q10602;UNIV;ND;CD;0,17;0,92;0;0;0;0;0;0
UC12471;RALN;ND;IR;0;0,33;0;0;0;0;0;0
UC12471;RALN;ND;EQ;0,05;0;0;0;0;0;0;0
V9755;RALN;ND;IR;0;1,1;0;0;0;0;0;0
IP10709;RALN;ND;OE;0;0;0;0;2,6;11,46;0;0
IP10709;RALN;ND;EQ;0;0,91;0;0;0;1,1;0;0
IP10709;RALN;ND;IR;0;0,52;0;0;0,11;3,69;0;0
C4283;RALN;ND;IR;1;0;0;0;0;0;0;0
C5865;PRBZ;NF;CA;0;0,61;0;0;0;0;0;0
C5865;PRBZ;NF;CC;0;0,87;0;0;0;0;0;0
C5865;PRBZ;NF;CB;1,39;0;0;0;0;0;0,7;0
C4274;RALN;ND;IR;33,17;6,54;0;0;0;0;0;0
C4274;RALN;ND;EQ;19,68;27,73;0;0;0;0;0;0
C1909;RALN;ND;EQ;1;0;0;0;0;0;0;0
OR13310;EPNE;ME;FU;0;1;0;0;0;0;0;0
OR13310;EPNE;ME;AT;0;0;0;0;0;1;0;0
C7021;RALN;ND;EQ;0,5;0;0;0;0;0;0;0
ER9949;RALN;ND;IR;0;0;0;0;10;11;0;0
ER9949;RALN;ND;EQ;0;0;0;0;0;6;0;0
C4915;RALN;ND;IR;0;0;0;0;0;1,12;0;0
C979;RALN;ND;IR;0,58;0;0;0;0;0;0;0
C7744;RALN;ND;IR;0;0,5;0;0;0;0;0;0
C3094;RALN;ND;OP;0;0;0;0;0;0;0,24;0,57
C3094;RALN;ND;IR;0;0;0;0;0;0;0,03;0
UC10460;RALN;ND;IR;1,33;4,37;0;0;0;0;0,22;0,33
UC10460;RALN;ND;OE;0,44;1,42;0;0;0;0;0;0
UC10460;RALN;ND;EQ;1,09;0,33;0;0;0;0;0;0
C6474;RALN;ND;EQ;0,33;0;0;0;0;0;0;0
C6474;RALN;ND;IR;0,65;0;0;0;0;0;0;0
UC10900;RALN;ND;EQ;1;0;0;0;0;0;0;0
C5619;RALN;ND;EQ;0,52;0;0;0;0;0;0;0
C5619;RALN;ND;OP;0;0;0;0;0;0;0,08;0
P9063;RALN;ND;IR;1,24;1,25;0;0;0;0;0;0
PA11817;RALN;ND;OE;0;0,16;0;0;0,58;0;0;0
PA11817;RALN;ND;IR;0,76;0,74;0;0;0,47;0;0;0
PA11817;RALN;ND;EQ;0,09;0,17;0;0;0;0;0;0
C2799;RALN;ND;EQ;1,13;0;0;0;0;0;0;0
C7856;RALN;ND;IR;0;0;0;0;0;1;0;0
C3299;PRTN;NF;CC;1;0,41;0;0;0;0;0;0
C4434;RALN;ND;OP;0;0;0;0;0;0;1,78;4,44
IP11050;PRTN;NF;CC;0;4,5;0;0;0;0,5;0;0
IP11050;PRTN;NF;CB;1,07;3,42;0;0;0;0;0;0
IP11050;PRTN;NF;CA;0;2,16;0;0;0;0;1,31;1,76
CV14343;AFAM;AT;PR;1,92;0,67;0;0;0;0;0;0
C6665;RALN;ND;IR;0,33;0,96;0;0;0;0;0;0
C7314;RALN;ND;IR;1;0,87;0;0;0;0;0;0
C7314;RALN;ND;EQ;0,48;0,4;0;0;0;0;0;0
C1297;RALN;ND;IR;0;0,69;0;0;0;0;0;0
C6417;RALN;ND;IR;0,54;0,5;0;0;0;0;0;0
C4971;RALN;ND;EQ;0;1;0;0;0;0;0;0
C4971;RALN;ND;OE;0;0;0;0;0;40;0;0
C4971;RALN;ND;IR;0;1;0;0;0;23;0;0
C7408;RALN;ND;IR;0,07;0;0;0;0;0;0;0
C7408;RALN;ND;EQ;0,73;0;0;0;0;0;0;0
C7647;RALN;ND;OE;0;0;0;0;1,42;0;0;0
C7647;RALN;ND;EQ;0;0;0;0;0,85;0;0;0
C6849;REFR;SC;CC;0;0;0;0;0;0,08;0;0
C1213;RALN;ND;EQ;0,5;0;0;0;0;0;1;0
C1213;RALN;ND;OE;0;0,16;0;0;0;0;1;2
C1213;RALN;ND;IR;0,25;0;0;0;0;0;1;0
C4422;RALN;ND;IR;0,74;0,55;0;0;0;0;0;0
C4347;RALN;ND;OE;0;0;0;0;2;18;0;0
C4347;RALN;ND;IR;13,34;41,08;4,82;15,77;1,6;14,45;0;0
C4347;RALN;ND;EQ;1,1;1,86;0;0,99;0;4,96;0;0
C6525;RALN;ND;EQ;0,06;0;0;0;0;0;0;0
C1913;RALN;ND;OE;0;0;0;0;0,13;0,21;0;0
C1776;RALN;ND;IR;0;0;0;0;0;1;0;0
C7808;RALN;ND;EQ;2,3;0;0;0;0;0;0;0
C7808;RALN;ND;IR;0,42;0;0;0;0;0;0;0
C6260;RALN;ND;OE;0;0;0;0;0,58;0;1,58;0,5
C6910;RALN;ND;IR;0,13;0;0;0;0;0,38;0;0
C6910;RALN;ND;OP;0;0;0;0;0;0;2,38;1,11
Q9155;UNIV;ND;CC;17,74;49,36;0;0;0;0;0;0
Q9155;UNIV;ND;CD;14,29;19,24;0;0;0;0;0;0
Q9155;UNIV;ND;CB;4,3;0,49;0;0;0;0;0;0
Q9155;UNIV;ND;AL;1;0,95;0;0;0;0;0;0
Q9155;UNIV;ND;CE;0,71;0;0;0;0;0;0;0
Q9155;UNIV;ND;RC;229,1;200,88;0;0;0;0;0;0
C4906;RALN;ND;EQ;0;0,23;0;0;0;0;0;0
C4907;PRBZ;NF;CA;1,28;1,17;0;0;0;0;0,4;0,45
C4907;PRBZ;NF;CB;2,71;0;0;0;0;0;0;0
C4907;PRBZ;NF;CC;0;1,13;0;0;0;0;0;0
C6637;RALN;ND;OE;0;0;0;0;0;0;0;0,56
C6637;RALN;ND;IR;0;0;0;0;0;0;0;0,56
C6637;RALN;ND;OP;0;0;0;0;0;0;0;0,56
C6274;REVA;NF;CC;0;0;0;0;1;1;0;0
C2886;RALN;ND;PC;0;0;0;0;0;0;0,63;0
C6464;RALN;ND;IR;1,12;0,12;0;0;0;0;0;0
C6464;RALN;ND;EQ;0,45;0;0;0;0;0;0;0
AP9855;SSNA;ND;PF;9,71;16,87;0;0;0;0;0;0
AP9855;SSNA;ND;OP;0;0;0;0;1;1;0;0
AP9855;SSNA;ND;AT;8,72;6,92;0;0;0;0;0;0
C6572;RALN;ND;EQ;0;0,4;0;0;0;0;0;0
C1745;RALN;ND;EQ;1;0;0;0;0;0;0;0
C5840;REVA;NF;CA;0;0;0;0;0;0;0;0,04
C5840;REVA;NF;CC;0;0;0;0;0;0;0,03;0
C5029;RALN;ND;IR;1;0;0;0;0;0;0;0
C6176;RALN;ND;IR;0;0;0,06;0,06;0;0;0;0
C8135;RALN;ND;OP;0;0,05;0;0;0;0;0,13;0,87
P9091;RALN;ND;IR;0;0;0;0;0;1,09;0;0
P9091;RALN;ND;EQ;0;0,21;0;0;0;0,79;0;0
C771;PRTN;NF;CB;0,01;0,47;0;0;0;0;0;0
C771;PRTN;NF;CC;1,36;0;0;0;0;0;0;0
C771;PRTN;NF;CA;0,01;2,34;0;0;0;0;0;0
C4969;RALN;ND;IR;0,02;0;0;0;0;0;0;0
C4866;REFR;SC;CC;0;0;0;0;0;0,12;0;0
C7865;RALN;ND;IR;0;0;0;0;0;2;0;0
C2623;RALN;ND;EQ;0;0,17;0;0;0;0;0;0
C4024;PRTN;NF;PC;0;0;0;0;0;0;5,74;1,28
C4024;PRTN;NF;CA;0,5;0;0;0;0;0;0;0
C4461;RALN;ND;IR;0;0;0;0,58;0;0;0;0
C5508;RALN;ND;EQ;1;0;0;0;0;0;0;0
C314;RALN;ND;IR;0,09;0,12;0;0;0;0;0;0
C314;RALN;ND;EQ;0,29;0;0;0;0;0;0;0
C1435;RALN;ND;IR;0;0,14;0;0;0;0;0;0
AS12002;LS13;NF;LI;1,67;0,76;0;0;0;0;0;0
C5634;RALN;ND;EQ;0,43;0,63;0;0;0;0;0;0
C5634;RALN;ND;IR;3,67;2,33;0;0;0;0;0;0
C6455;REFR;SC;CB;0;0;0;0;0,69;0;0;0
C6455;REFR;SC;CC;0;0;0;0;0,66;0;0;0
