anno,n_pa_mpa,n_pa_mpa_con_dati_ca,n_pa_mpa_senza_dati_ca,quota_mpa_con_dati_ca
2021,10179,9643,536,0.9473425680322232
2022,10179,9662,517,0.9492091561057079
2023,10179,9672,507,0.9501915708812261
