anno,n_pa_mpa,n_pa_mpa_con_dati_ca,n_pa_mpa_senza_dati_ca,quota_mpa_con_dati_ca
2021,10179,9481,698,0.931427448668828
2022,10179,9491,688,0.9324098634443462
2023,10179,9453,726,0.928676687297377
